LIN,S3_V2_D1,S3_V10_D4,S4_V7_D1,S4_V9_D2,S4_V9_D4,SAF,F2
9.081874,12.246956,14.124639,13.509338,15.864598,15.643329,9.734293,6.163188
11.733049,19.97878,20.364328,26.817451,18.5529,30.777909,8.638492,5.440295
5.785176,8.122848,9.575515,21.747035,26.861003,11.369278,2.769105,4.747836
11.2092,16.081516,14.905519,16.99972,14.972868,28.454654,3.51703,3.87428
6.482509,7.217895,7.930834,7.106023,16.640265,9.175018,7.986915,3.317062
14.829274,80.341548,18.866602,22.307661,34.505858,20.961266,9.398724,14.356248
7.480948,7.971448,8.595443,15.838195,12.435113,13.960653,13.393834,2.433486
3.35471,6.793679,7.205002,8.633259,13.603206,9.384892,2.198292,2.305392
3.447072,4.610235,5.13675,7.144682,84.534944,6.885326,2.53343,2.609409
23.659847,24.007121,25.100886,25.930246,49.055099,35.430101,21.214165,20.016037
2.388842,5.676334,6.159857,8.736032,6.438904,6.504446,2.156821,2.641015
8.454813,9.082756,7.685024,9.84058,30.990386,10.491149,4.508623,5.322753
2.959767,3.211824,3.096149,4.40583,10.012171,3.257702,2.505553,3.13833
9.709416,8.41455,12.739054,13.241527,14.199556,16.393925,4.402133,4.223671
6.260251,3.626601,5.95414,4.836887,31.343771,7.493418,2.056795,3.006516
11.310277,13.025275,16.368525,16.124352,24.053516,11.74333,4.377521,7.640848
3.406289,3.655793,3.784435,3.701354,5.554763,3.579101,3.063778,2.858227
24.807159,29.805247,17.163668,13.506536,28.981839,30.188823,5.403726,3.144724
15.64892,16.784817,17.620052,21.051431,60.797082,17.035013,2.554918,3.596395
11.685649,61.259788,15.514377,16.971243,18.465621,55.388854,3.088163,3.229932
5.011533,8.75045,5.008459,5.872648,6.326938,9.136968,2.484395,3.181378
6.490392,6.639734,7.185212,8.730239,13.51453,9.215896,3.09273,2.859616
217.224014,145.56784,85.185241,14.778753,141.457615,81.244514,20.632628,15.567533
11.635956,24.50567,11.278803,21.014161,10.405808,20.210884,5.393363,5.200739
6.932885,14.951485,12.582223,35.880566,113.248208,22.690239,11.383584,6.996593
38.133182,9.705679,11.29344,24.247676,17.533396,19.522304,5.027776,3.32654
2.303582,2.614519,2.781018,3.680592,6.659582,3.177831,2.008894,1.968676
3.730643,3.430119,4.494191,5.80988,16.739297,4.778579,2.289654,1.996099
8.121147,11.240952,13.159368,29.737178,26.275423,13.640132,5.658928,3.289838
4.589602,8.969075,9.843414,14.410773,72.742212,10.957687,3.07555,3.365832
5.029612,10.685068,27.885748,12.197947,29.207497,13.99957,15.385828,7.049397
10.189854,38.788404,63.826304,120.824931,122.689903,75.34924,2.988909,5.641953
4.126042,18.250548,7.418238,11.486162,10.501875,19.642893,24.166169,3.253685
24.880857,21.190413,21.23484,32.751738,61.821788,85.822613,12.762154,118.791417
6.639211,8.026151,8.189836,9.063087,29.763653,8.245064,5.294628,4.600067
4.366373,4.2312,4.825866,10.951175,23.852653,7.414401,4.580195,3.190502
13.552332,22.891129,22.352541,18.223096,31.963338,30.877136,16.520215,3.060517
6.634977,8.435538,7.157731,11.375355,10.085228,13.275286,8.643553,2.848166
6.967678,13.16121,14.861927,17.776353,220.999024,21.823236,4.403146,3.727172
6.802,6.307664,8.365625,14.05141,431.922555,11.051646,5.333787,2.234949
12.451962,9.118792,15.182621,44.24489,179.274544,51.884823,8.24323,2.928216
6.073226,6.422111,4.249497,6.101121,23.703943,5.378848,4.514372,2.909832
36.31263,91.311405,65.982322,187.595129,583.555126,123.779268,34.587378,43.085462
2.059453,2.023542,2.061552,2.289756,13.570513,2.063255,1.556241,1.509006
31.672711,47.001516,33.300153,37.73582,910.223607,222.328047,20.686207,22.010487
7.586939,14.454154,15.764144,21.723045,107.531431,23.94259,9.39148,7.2211
9.357153,14.584473,21.064573,14.657521,324.967248,165.311418,7.325819,7.421737
20.512542,59.16811,86.139264,151.72644,311.967606,88.063456,2.153738,1.874083
6.30233,8.323912,8.862915,20.069672,33.044672,20.273622,3.484601,2.562005
5.099916,5.645347,5.46373,6.23036,16.737385,6.544249,56.255179,23.238241
21.661549,18.091712,18.429556,22.289333,22.762604,21.610318,15.773757,15.409079
3.967109,6.433663,12.397709,14.162432,169.405322,7.813782,3.806273,2.51458
129.166076,107.817418,121.24848,122.604926,122.845983,110.285167,67.923546,29.753225
27.305257,52.982734,43.973912,103.513684,346.723518,107.100407,31.797435,6.608466
29.955741,33.170769,61.58837,88.529452,307.603995,57.606992,20.609317,13.345582
88.020997,57.265597,93.178225,156.550345,401.555893,93.137723,43.431318,15.98927
19.189729,200.483179,26.488628,21.599418,42.893227,236.955493,5.147106,9.021791
6.375385,27.94274,27.73785,35.513203,29.834346,75.28828,3.864912,6.537763
139.426374,673.555352,138.571817,103.376011,1486.650149,695.56761,39.802319,11.623535
19.707101,35.467848,35.185852,40.127515,61.100613,50.416692,23.805305,15.077619
19.979227,129.123763,83.521318,40.201476,415.609479,402.581734,3.784127,7.570744
16.767747,38.781794,16.643947,11.426407,47.041768,90.314988,14.941204,7.739229
19.870342,46.975038,42.049,97.312013,44.146118,106.642274,31.189417,16.909469
11.910117,27.897391,44.42746,53.897934,252.542768,268.066209,13.41783,22.175799
