LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
9.081874,12.465025,12.246956,14.625202,15.755413,7.574363,11.879693,9.734293,6.163188
11.733049,27.66347,19.97878,31.247728,31.669521,8.365705,28.53462,8.638492,5.440295
5.785176,12.439118,8.122848,13.60693,12.183011,4.558387,92.740124,2.769105,4.747836
11.2092,13.249883,16.081516,14.720344,14.423857,8.935784,6.566264,3.51703,3.87428
6.482509,7.79656,7.217895,9.936684,6.982487,6.080617,11.031317,7.986915,3.317062
14.829274,15.199011,80.341548,18.715698,20.701536,13.528684,19.842347,9.398724,14.356248
7.480948,9.093306,7.971448,11.945653,14.795816,10.418842,39.121298,13.393834,2.433486
3.35471,7.562484,6.793679,10.140298,8.239047,4.071849,3.968576,2.198292,2.305392
3.447072,4.773044,4.610235,6.59531,7.090475,3.789189,3.314047,2.53343,2.609409
23.659847,24.360783,24.007121,29.453718,31.611464,21.761937,26.939994,21.214165,20.016037
2.388842,5.910234,5.676334,7.873217,6.43094,2.821476,2.094488,2.156821,2.641015
8.454813,7.085823,9.082756,9.5569,9.714733,5.384198,20.991292,4.508623,5.322753
2.959767,3.139298,3.211824,4.671516,3.148011,4.108722,4.319495,2.505553,3.13833
9.709416,11.070836,8.41455,14.05587,14.161557,5.015081,4.049756,4.402133,4.223671
6.260251,3.652189,3.626601,6.616449,6.566964,6.373451,2.630893,2.056795,3.006516
11.310277,9.691233,13.025275,16.455161,18.636967,5.589062,5.296537,4.377521,7.640848
3.406289,3.725047,3.655793,3.726793,3.202929,2.915323,2.887658,3.063778,2.858227
24.807159,16.278827,29.805247,16.054807,18.157218,14.725126,13.727771,5.403726,3.144724
15.64892,16.847554,16.784817,18.163224,16.656706,6.663273,9.150876,2.554918,3.596395
11.685649,12.422368,61.259788,15.323214,15.067378,5.229608,3.865734,3.088163,3.229932
5.011533,4.874451,8.75045,5.442728,5.910323,4.472092,15.538364,2.484395,3.181378
6.490392,7.209014,6.639734,9.421982,8.589845,3.825724,9.990088,3.09273,2.859616
217.224014,83.975333,145.56784,13.794611,30.771637,5.190049,289.87517,20.632628,15.567533
11.635956,10.871758,24.50567,16.45973,13.618227,5.661004,6.284362,5.393363,5.200739
6.932885,14.764637,14.951485,23.039938,21.989919,10.370721,12.164914,11.383584,6.996593
38.133182,13.978839,9.705679,20.168564,19.699391,4.334178,13.550639,5.027776,3.32654
2.303582,2.745536,2.614519,3.96697,3.297584,2.100334,2.284251,2.008894,1.968676
3.730643,3.786218,3.430119,5.333811,5.441865,2.956031,3.139838,2.289654,1.996099
8.121147,12.327488,11.240952,16.54128,15.924652,7.001167,6.184201,5.658928,3.289838
4.589602,9.266029,8.969075,11.981247,12.011084,4.836739,6.840477,3.07555,3.365832
5.029612,10.538307,10.685068,14.375727,10.850247,4.767709,13.857167,15.385828,7.049397
10.189854,36.255857,38.788404,117.527266,113.329649,5.645876,12.928611,2.988909,5.641953
4.126042,6.69047,18.250548,8.577045,8.06196,4.049827,15.202749,24.166169,3.253685
24.880857,22.839188,21.190413,26.661829,27.556443,14.556116,81.414684,12.762154,118.791417
6.639211,8.107757,8.026151,8.412753,12.49414,5.003914,19.674816,5.294628,4.600067
4.366373,4.712787,4.2312,8.680712,6.401636,3.061492,2.732645,4.580195,3.190502
13.552332,18.502399,22.891129,18.842788,19.233734,6.577319,17.604713,16.520215,3.060517
6.634977,7.703661,8.435538,10.963887,9.33169,4.953599,9.957991,8.643553,2.848166
6.967678,13.947234,13.16121,15.763951,23.098928,7.459584,5.640511,4.403146,3.727172
6.802,5.974303,6.307664,11.614852,12.306616,2.954564,106.835567,5.333787,2.234949
12.451962,9.472094,9.118792,14.265018,16.888013,8.174655,22.593482,8.24323,2.928216
6.073226,4.943683,6.422111,6.232147,6.133155,4.601609,31.368749,4.514372,2.909832
36.31263,98.868268,91.311405,161.44377,119.220255,44.823688,107.754972,34.587378,43.085462
2.059453,2.059944,2.023542,2.197416,1.80771,1.569699,9.93131,1.556241,1.509006
31.672711,29.125611,47.001516,30.816912,44.819248,16.666278,205.003408,20.686207,22.010487
7.586939,17.777944,14.454154,21.078177,22.274368,12.954256,13.965082,9.39148,7.2211
9.357153,10.080203,14.584473,20.10015,23.705706,5.05431,62.160792,7.325819,7.421737
20.512542,54.855914,59.16811,94.212923,80.134184,7.82957,68.415721,2.153738,1.874083
6.30233,10.514782,8.323912,13.00242,12.268531,8.084894,21.66404,3.484601,2.562005
5.099916,5.520829,5.645347,6.927466,9.005998,5.00729,64.003208,56.255179,23.238241
21.661549,18.906507,18.091712,20.707565,18.760395,19.777245,113.01455,15.773757,15.409079
3.967109,6.439405,6.433663,12.788485,7.659918,4.546642,19.106333,3.806273,2.51458
129.166076,114.118045,107.817418,117.767973,131.549117,31.329924,105.060103,67.923546,29.753225
27.305257,44.381613,52.982734,105.753237,141.777324,15.376037,49.790868,31.797435,6.608466
29.955741,45.349981,33.170769,74.118587,84.531597,20.54197,17.987222,20.609317,13.345582
88.020997,100.007886,57.265597,142.51789,111.225654,29.457151,202.489591,43.431318,15.98927
19.189729,17.163023,200.483179,21.307876,33.828992,7.6622,20.992192,5.147106,9.021791
6.375385,31.75095,27.94274,55.454537,75.766231,5.842601,23.075811,3.864912,6.537763
139.426374,38.541316,673.555352,202.370587,124.364208,19.879231,517.270624,39.802319,11.623535
19.707101,36.495156,35.467848,37.586797,47.371396,22.888375,32.791225,23.805305,15.077619
19.979227,27.290335,129.123763,50.196725,56.409904,6.250664,449.964148,3.784127,7.570744
16.767747,10.189539,38.781794,11.719288,25.094563,3.910868,26.659952,14.941204,7.739229
19.870342,52.116856,46.975038,69.286553,79.996659,8.792454,228.550156,31.189417,16.909469
11.910117,71.797384,27.897391,100.577227,87.15066,11.908121,170.709897,13.41783,22.175799
