MEM2,MEM4
11.339671,11.693338
14.878916,19.06501
11.523227,10.96548
9.525196,7.739056
4.731567,5.179672
9.29296,8.04382
21.380725,14.99313
4.377583,5.781823
5.855186,5.244199
23.648882,25.744641
2.802012,2.84197
13.744161,5.94758
3.033617,5.263917
7.106283,6.372604
8.157646,3.725021
10.870546,9.686706
3.452786,3.588057
13.111991,7.800692
10.948685,7.42216
8.256801,5.482089
4.947467,4.819208
5.492848,5.170785
13.103961,7.774816
10.410038,7.794341
16.710029,9.123884
6.641503,6.348754
3.252554,3.058418
2.616236,2.436624
9.789791,8.95634
6.548918,5.538135
8.124409,6.079059
11.471459,13.906507
6.107435,4.262599
21.161728,25.726936
6.866479,5.037942
4.362524,4.636581
9.7957,5.150008
7.608755,5.749518
10.129216,14.284904
7.889544,7.084132
6.722752,7.417955
4.841938,4.203731
104.904376,105.210509
1.691532,1.591173
29.998431,18.632077
5.906252,6.425025
8.026021,10.339458
77.739896,117.278045
9.956908,6.424469
6.908221,7.518308
19.941871,19.753267
4.980371,9.54217
28.926287,48.685363
39.210689,23.841772
19.034741,14.032862
81.595943,62.974382
15.573272,44.634883
6.936223,6.616017
26.758017,25.538886
22.258071,11.191466
78.53034,42.624403
15.94088,25.783389
21.222036,14.453198
14.259257,10.793585
