SAF,F2,FCFS
11.693338,10.189392,28.584651
19.06501,17.78013,36.486458
10.96548,9.715306,82.024354
7.739056,11.773841,36.321292
5.179672,5.661809,16.37069
8.04382,9.606717,48.181763
14.99313,8.808416,64.223723
5.781823,4.69727,13.716617
5.244199,5.731138,11.106849
25.744641,31.6821,39.292695
2.84197,3.107258,6.521332
5.94758,7.948028,19.301318
5.263917,3.069119,15.899894
6.372604,7.652693,17.230593
3.725021,3.622543,5.733986
9.686706,8.429815,19.249712
3.588057,3.352353,4.08934
7.800692,9.125135,24.709617
7.42216,9.127449,18.950847
5.482089,8.045293,11.674249
4.819208,4.466914,9.665967
5.170785,6.683175,13.42673
7.774816,10.123541,20.759176
7.794341,7.238588,16.411303
9.123884,8.617018,33.903356
6.348754,7.622065,41.603525
3.058418,3.142052,11.089711
2.436624,2.804133,17.945523
8.95634,8.893226,42.477566
5.538135,6.003694,44.309461
6.079059,6.250157,52.785077
13.906507,11.961995,57.582037
4.262599,4.20134,48.946707
25.726936,26.822682,39.113083
5.037942,5.434555,14.537522
4.636581,3.566255,20.575583
5.150008,5.352715,52.235772
5.749518,6.678971,24.063585
14.284904,9.584196,43.442357
7.084132,7.386855,99.334195
7.417955,6.621559,22.962118
4.203731,3.62853,15.524018
105.210509,123.387784,139.069256
1.591173,1.594862,2.01923
18.632077,30.768972,335.031857
6.425025,4.948138,51.426488
10.339458,11.155496,71.629604
117.278045,92.228503,98.654202
6.424469,10.780027,26.676406
7.518308,8.418686,34.684632
19.753267,18.266116,34.918757
9.54217,11.275771,48.31775
48.685363,83.992894,81.119938
23.841772,70.537051,108.758859
14.032862,17.021437,111.173875
62.974382,63.422339,659.353174
44.634883,30.471124,95.336328
6.616017,7.269731,118.676965
25.538886,34.935298,384.751093
11.191466,10.636074,38.284935
42.624403,21.519201,47.239527
25.783389,8.225189,30.027841
14.453198,62.328775,164.038495
10.793585,10.833017,142.853316
