SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
17.704456,12.366238,12.99434,10.735626,19.862913,12.99434,24.32543,14.65905,8.810561,11.513759,15.049441,12.99434,15.724145,9.815744,15.078433,9.739178,12.10236,13.400375,24.425976,14.32063,13.794269,21.835577,14.984329,13.431889,14.154839,13.168902,12.04564,15.348624,11.987816,11.015351
29.101381,16.734439,23.256146,12.734487,28.148394,23.256146,23.408566,31.166686,18.324529,17.928226,14.163454,23.256146,26.864179,16.951638,25.265725,20.83999,18.668813,30.902677,32.51918,18.679045,19.626695,38.363811,20.567276,27.379415,27.627733,19.624073,12.703212,19.723826,17.830175,14.030886
17.175568,11.519263,12.133134,10.440491,20.196332,12.133134,38.101449,24.052543,21.540726,15.795147,27.654755,12.133134,21.116657,11.616306,25.110915,14.008659,37.395021,31.730132,33.809752,19.03561,11.499116,71.738766,30.033131,11.882117,10.967656,16.343325,21.727376,16.049168,12.586662,50.446881
12.017926,13.467416,13.414471,7.282738,29.138748,13.414471,14.882531,37.52114,8.122263,10.476218,8.893289,13.414471,14.395328,8.951177,12.601577,7.557582,8.346539,14.969059,25.257538,9.233429,12.986558,15.960363,14.11037,11.840152,14.18261,13.498985,8.090155,11.54947,13.634679,8.212474
8.197106,6.974703,8.019687,5.386758,8.624295,8.019687,11.39416,26.162342,7.499812,7.759975,5.951696,8.019687,6.719101,6.415981,8.465144,6.672213,7.406005,6.189755,12.174375,8.247825,6.51929,9.966447,8.906093,5.849389,6.971128,10.016294,9.747479,7.08255,5.713,7.458392
27.334758,16.817596,18.648147,9.512706,29.129847,18.648147,18.777794,37.915239,12.968581,14.864312,10.695128,18.648147,14.607681,8.966333,20.185521,11.209651,13.269778,20.89002,27.142499,13.762721,20.366327,25.730485,19.216377,17.344389,19.088529,21.469754,16.724062,25.395374,15.777961,14.003633
21.015902,9.119053,11.363701,11.14849,11.34659,11.363701,40.515046,32.983122,26.431572,12.15148,26.117255,11.363701,16.353735,15.022211,16.225673,15.137581,15.232486,14.775684,18.771621,20.790683,9.936415,33.469361,10.800765,12.17529,12.512174,9.937304,12.063836,17.06655,11.495505,21.783662
8.519178,6.644381,9.617094,6.305925,9.176599,9.617094,23.180276,11.767745,5.902907,6.785578,6.463911,9.617094,7.075876,7.066825,7.067371,7.216238,6.83412,8.788228,12.885137,11.332387,7.039921,9.687119,6.478064,8.701796,8.743312,6.527605,11.777658,9.890613,5.929808,5.68865
6.317204,5.196332,7.234265,5.839356,7.268701,7.234265,15.070695,13.241086,7.367689,6.98896,8.656912,7.234265,6.756542,5.990875,7.760434,6.143971,7.361966,6.48927,8.405713,6.762101,5.885143,11.152723,7.030681,7.146458,8.34282,6.443025,8.916128,8.746663,5.184569,5.636191
32.891727,30.810419,32.186271,30.811749,28.139209,32.186271,33.256514,36.930313,25.315791,26.852005,25.245455,32.186271,27.413478,26.143387,25.890118,25.979324,23.37735,32.381065,27.552533,26.481012,31.204448,34.885245,27.335595,26.87879,27.263213,29.840595,26.65814,28.431286,34.266573,23.168225
6.810451,3.565867,6.437003,3.502419,5.260736,6.437003,9.971571,4.240777,4.434389,2.982108,4.216119,6.437003,6.992991,3.210938,7.843466,4.441973,3.901093,5.293811,8.485014,6.365831,3.557691,4.652244,4.204373,5.904465,6.962784,4.366299,3.743267,2.954255,3.155234,3.30894
11.775164,8.73165,9.697793,5.69107,14.602805,9.697793,17.755974,13.811744,7.178504,6.094574,9.817464,9.697793,10.137632,6.097001,7.744416,7.693561,7.056959,10.408557,9.086008,6.580666,8.551275,8.1412,7.917789,9.005628,9.135539,7.353144,5.199498,10.293966,8.867233,6.653104
3.752468,7.033327,3.532552,4.28793,3.929214,3.532552,10.73018,15.167519,5.832984,4.065809,5.461658,3.532552,3.572993,4.491423,2.85626,4.091038,6.054897,3.384178,5.174111,3.500009,3.580608,11.469615,3.710439,4.576969,4.319926,5.832165,5.065142,5.36323,3.463975,5.90239
15.102432,12.715457,14.280831,7.144506,10.873616,14.280831,12.476525,12.084607,6.783361,7.175609,8.789994,14.280831,13.931675,7.022521,10.255443,6.383967,8.12831,15.264265,14.330533,9.653721,14.015618,11.091152,14.365715,12.112114,13.344205,12.857758,7.77362,12.17033,9.030707,6.654583
6.962869,7.943201,4.321654,3.773009,5.337336,4.321654,4.993112,6.129244,3.531813,3.7934,3.615684,4.321654,8.443303,7.658264,3.472498,3.162285,4.311688,5.170693,6.537743,3.280513,8.091256,5.549254,8.391899,5.869073,6.321461,3.42592,3.832704,5.717593,4.404636,3.462118
10.100396,11.240151,13.684147,5.841097,15.514483,13.684147,12.21236,10.214627,8.801393,12.530569,7.816517,13.684147,11.353742,12.270053,15.552367,8.874785,11.846464,13.943751,16.569809,9.839075,17.771609,12.528355,12.526794,17.957375,15.314001,11.500986,12.488954,12.246374,13.698227,8.288808
3.758633,3.590059,3.725157,3.715353,3.770944,3.725157,4.357078,3.601676,4.226277,3.346821,3.44739,3.725157,3.763745,3.375171,3.784594,3.700533,3.339388,3.498413,4.107573,3.732588,3.495663,4.11066,3.911326,3.626372,3.703748,3.986241,4.00006,3.637021,3.723234,3.65138
21.983881,15.647603,16.582328,9.40655,20.014358,16.582328,14.577356,26.350942,14.477739,11.140969,10.092461,16.582328,14.105075,11.659997,15.006886,10.838609,12.853413,15.54504,19.623773,10.566524,27.435712,24.988025,23.699301,14.233306,15.097879,12.777346,10.288753,17.156627,21.662778,11.860957
17.239001,16.596632,16.104702,7.67625,16.121683,16.104702,11.986973,11.362817,14.901392,6.066005,7.106222,16.104702,16.045852,8.745542,16.014453,8.728964,9.693495,16.369368,22.258921,8.714995,16.354666,9.385354,16.076632,15.15671,18.297581,9.975399,6.320311,15.72914,12.503811,7.846666
