LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
10.39278,10.847407,221.441077,14.12424,36.203075,22.43369,104.688885,27.143765,35.28461,23.40878,221.206693,27.771803,35.869901,15.61797,34.25326,10.538296,35.850765,34.470204,343.659183,47.908363,10.396963,22.552529,35.869901,27.158872,10.674731,32.547785,10.408103,47.194693,29.244954,10.318444,49.093359,11.570689,14.801688,118.59108,33.399075,27.143765,24.688321,24.703428
15.081496,15.437866,33.030681,29.803429,29.833659,58.860828,242.732466,60.098013,67.043065,49.029266,32.001071,21.139507,32.378047,32.933553,27.656294,12.844373,25.356436,24.332043,565.351393,38.963306,14.43536,64.88497,32.718448,60.093207,19.931023,57.057999,14.320172,32.340749,68.780976,13.4581,41.650087,11.673698,30.905079,253.874675,43.663917,60.098013,54.659616,54.659616
50.936599,47.29499,1123.85587,10.556716,86.117882,54.323025,575.340405,57.943955,109.646646,109.1371,1122.29723,107.422066,143.729609,18.280098,72.815563,44.776164,85.285399,85.922669,1091.487199,59.299643,66.908009,52.073931,144.360323,57.943087,12.674103,40.509643,33.180711,50.368351,48.769456,24.179309,48.601869,21.756027,21.539553,755.076982,61.242846,57.943955,64.185891,64.185891
7.344085,8.089984,332.976901,12.69833,43.302959,43.645697,39.485959,44.815023,43.571455,25.684246,332.976901,22.211832,32.073612,17.896874,28.483429,7.8933,43.910016,36.870011,336.447625,42.779733,7.85065,46.134181,32.073612,44.856136,13.399899,43.703499,7.8933,42.676467,45.024502,7.897791,50.454315,7.694935,15.328175,3514.578675,46.609417,44.815023,40.883309,40.883309
7.178875,6.860085,454.542972,7.682543,26.729292,35.19036,80.352151,26.768435,20.010652,23.788426,454.542972,14.809945,26.413882,10.720795,23.699813,8.503538,26.67932,22.740441,2637.383589,34.1008,7.963362,20.108722,26.413882,26.768435,7.443898,19.691564,8.503538,29.317178,19.754672,8.15475,33.703583,7.850021,9.572049,82.013696,19.513677,26.768435,20.490642,20.490642
13.975659,10.75442,192.755769,18.099953,55.236596,39.741456,4429.583207,86.856435,55.279785,63.1534,993.515381,21.339905,62.587352,17.230324,38.998662,13.767138,59.247177,49.117232,1206.128497,88.284295,8.342351,48.095448,62.587352,86.855226,14.291937,47.627495,10.628804,71.579113,45.166539,10.081384,96.990864,10.284741,21.252765,4286.934732,41.984212,86.856435,48.308555,48.307005
15.384049,8.901715,393.734158,10.594535,59.154462,42.879547,1405.355524,60.370517,55.224427,35.472638,395.978145,42.053735,57.265211,14.4095,52.689952,22.236062,51.709079,55.337763,416.041385,87.517317,27.327263,44.972589,57.265211,60.370517,12.358028,32.285514,26.052917,70.349763,43.979171,10.590908,75.034649,12.538662,15.527415,1205.449989,46.422803,60.370517,44.254337,44.254337
6.544521,6.729962,226.622005,7.393716,30.187489,34.645565,22.603997,40.874533,39.435619,25.095057,226.622005,19.645503,34.810324,9.672374,17.098824,6.594822,21.135952,20.980687,121.231612,46.42145,6.646507,32.233737,34.810324,40.874533,7.490962,18.090709,6.669137,40.51757,34.321468,7.283476,48.029188,8.386709,9.120911,350.294261,29.780844,40.874533,42.361035,42.361035
7.663556,6.548287,240.661537,5.962656,22.109236,26.437388,404.358749,23.955751,27.047962,19.262798,240.661537,10.715695,22.848477,7.107509,16.072655,5.716819,21.685507,19.572641,555.077184,20.140408,6.289673,17.379972,22.848477,23.955751,7.939823,16.937105,5.78655,21.37191,17.745218,5.435695,20.68203,7.944139,6.693089,645.523676,22.850779,23.955751,24.859773,24.859773
26.736008,25.108496,439.633709,32.76171,41.865308,45.506365,28.967298,43.95944,46.109081,40.808122,439.633709,33.600456,41.946013,30.55083,31.838223,25.516017,30.59886,30.306838,8020.735354,46.073697,25.370005,36.203915,41.946013,43.95944,24.111467,31.923878,25.50868,40.599006,35.670409,26.898132,48.908566,28.455494,35.374744,33.124964,40.072,43.95944,48.746751,48.746751
3.286463,3.553621,82.510887,6.235129,8.078235,12.479449,74.291723,15.846352,15.392448,7.560385,82.510887,7.250669,7.622008,6.441492,7.008337,3.564685,7.622008,6.96282,1333.287964,15.298859,3.546564,11.616815,7.622008,15.846352,3.115427,8.65483,3.547456,9.169055,11.630119,3.356219,14.888832,3.561891,6.575305,190.651729,10.115067,15.846352,16.021887,16.021887
7.393143,6.249284,137.820883,12.687661,25.869263,36.92873,156.557617,43.241345,40.319946,16.416713,137.820883,11.224528,28.86705,10.205999,15.600872,8.33798,34.898589,11.013087,367.797011,20.595165,5.090855,21.308576,28.86705,43.241545,7.009829,19.878942,7.399993,34.242947,19.910691,5.215356,38.795458,8.790889,10.954082,130.024148,29.776908,43.241345,40.086764,40.086764
6.803397,6.392498,166.877038,3.407606,41.229399,24.940499,366.487534,23.227444,19.519581,20.576884,144.586932,12.418376,26.237516,3.287706,30.53488,4.321137,31.571818,26.813364,105.734312,70.086733,6.169962,9.815432,26.237516,23.227444,3.235814,10.595296,6.169962,87.459087,9.133267,6.370911,38.805744,5.478226,3.660251,366.397922,10.009652,23.227444,18.573509,18.573509
8.198851,7.445203,129.24889,11.952896,22.922282,19.503786,17.528611,30.582989,22.275032,22.455508,128.601271,15.526031,16.232188,9.487717,17.048854,8.13653,17.566808,17.332667,7400.121237,27.228529,7.445203,19.715293,16.232188,30.582989,12.599605,9.377996,7.445203,21.953885,19.322443,6.86555,32.795559,7.712965,14.682796,19.053107,18.342313,30.582989,18.723477,18.723477
3.183178,3.942728,86.644954,4.408037,8.098043,8.15311,1508.791236,8.995411,8.043178,10.234756,86.644954,7.955666,8.186614,4.599196,7.358993,3.938469,8.186333,8.328596,621.93064,12.421439,3.935812,6.411044,8.186614,8.993465,11.770032,5.729669,3.938805,8.452473,6.302355,3.908505,14.670852,4.075254,5.001026,1483.798752,7.002785,8.995411,8.171358,8.171358
7.675923,8.307495,594.789828,15.963747,14.597398,17.568484,84.037444,21.203158,17.79137,28.865419,655.828946,23.319715,25.290696,10.616084,32.437928,8.69147,28.211147,28.270409,20.822958,21.552538,11.753759,22.886569,25.289796,21.203158,9.757413,12.524947,11.789287,13.860597,17.094725,12.233455,15.225193,11.801258,15.815918,81.641573,20.432789,21.203158,17.462242,17.462242
3.820791,3.885091,424.64553,3.781401,4.865841,4.859825,12783.234769,5.277434,4.102174,5.530936,424.64553,4.543855,4.865902,3.555766,4.965657,3.829347,4.865902,4.918807,3032.639549,5.089771,3.758811,3.928956,4.865902,5.185162,3.52857,3.593957,3.829347,5.029609,4.021741,3.486786,5.015951,3.969595,3.649107,12466.601416,4.492972,5.277434,4.897677,4.897829
13.692953,15.308662,1356.217725,21.52554,20.775338,32.222067,40.295837,37.128691,31.909663,28.160798,1356.217725,15.810019,22.08127,19.086271,21.305218,12.082013,22.529936,22.338279,13194.556695,19.135746,10.41831,32.761791,22.033505,37.127142,12.478215,29.433713,10.469611,30.712574,32.01529,14.789228,17.162348,10.174488,14.982747,51.140304,22.85636,37.128691,27.197707,27.197707
9.497059,5.287921,832.544189,16.893318,21.490129,29.244572,38.836012,27.136433,31.579885,17.38615,837.920168,9.517096,24.603825,15.065021,13.151013,5.880245,12.972668,22.471873,196.041313,24.933574,7.204515,26.8596,24.603825,27.136492,10.786896,24.718011,6.929207,16.020577,26.544076,9.500745,20.891495,7.924251,16.526028,58.953088,27.083567,27.136433,32.144939,32.144939
4.830009,3.951944,546.209954,12.991787,13.006742,17.281073,138.092914,18.158197,18.026847,19.934776,546.209954,14.288041,15.963369,8.009177,13.29771,5.148694,15.902598,14.501853,1039.139653,13.132167,4.216166,17.467669,15.963369,18.194723,11.07737,12.501994,5.185359,20.238241,17.486643,5.831337,18.231565,5.955672,15.456367,10.311611,18.842171,18.158197,17.207609,17.207609
4.12355,3.608214,180.282772,4.867762,16.761823,9.736944,14.332769,17.068029,10.152392,10.686748,180.293137,9.145069,11.921057,4.399024,12.258391,3.705563,12.097664,9.641846,622.683443,13.148923,3.639538,12.688688,11.921057,17.068029,4.954879,11.490456,3.639768,9.721659,8.382205,3.002339,13.094374,3.968453,7.06402,4.944075,11.733772,17.068029,10.323305,10.323305
6.291501,5.501658,279.105676,7.517035,18.346559,16.272107,1463.897411,19.227486,18.203044,14.623651,279.080086,10.300945,21.187802,6.805306,23.21833,5.187577,19.57152,17.943885,27152.599372,20.190804,5.07194,18.514892,21.197559,19.227486,5.703181,18.067877,4.996016,22.224918,18.51109,9.311968,28.84471,5.323971,10.162379,1571.253576,12.940057,19.227486,13.332446,13.332446
7.507397,11.699384,175.195868,16.933817,17.31866,28.162831,9.314215,27.416076,27.497328,15.440712,174.996841,12.901843,21.452272,15.044816,16.84452,8.390668,21.767983,15.049327,2316.339807,36.419073,7.776472,20.347616,21.45186,27.416076,9.318506,15.887507,8.083683,21.708613,34.716356,6.849204,29.077586,7.333778,16.94707,3709.704593,24.987479,27.416076,24.465285,24.465285
8.883393,8.752187,143.448067,10.643235,23.936266,27.18484,8.339345,27.793087,26.735794,26.209185,143.402426,15.856297,24.428766,12.844638,49.027606,9.307686,24.499805,23.019132,1745.176838,27.115148,7.812711,28.17467,21.697849,27.793089,11.071155,26.580694,9.553523,21.485756,24.750674,7.454572,40.120188,8.541707,13.540142,13.281095,26.522153,27.793087,26.810925,26.810925
10.883449,7.082757,2981.079623,13.716838,21.387478,41.065891,948.903903,43.600153,50.632707,33.233493,2935.802968,17.384899,33.582118,15.978916,14.286588,11.653605,46.189464,31.477164,25065.620899,42.681785,10.903327,26.034504,33.582118,45.022736,20.632983,22.981055,10.891793,58.526723,22.899692,4.212479,60.44772,7.866863,22.8398,913.541123,43.81838,43.600153,48.84014,48.84014
7.605416,7.093346,803.551983,18.950739,30.513142,65.94017,7.54358,80.735921,78.718184,30.350045,802.30078,18.024156,27.381018,14.285738,25.497795,8.199187,28.154978,29.561406,1861.493998,74.300652,7.563725,85.505461,27.381018,80.741476,11.477987,22.550204,8.222357,29.129955,83.080677,5.618152,77.061879,7.54754,25.265676,56.278224,81.557733,80.735921,79.835253,79.835253
3.611602,3.640013,105.810296,3.097298,20.994051,15.832894,24.087624,18.378345,14.021714,21.862793,105.810296,8.072566,22.742143,3.158878,14.74941,3.619123,22.741392,18.668522,1611.589685,18.086852,3.572834,13.026301,22.742143,18.378345,3.004758,12.664655,3.616421,14.34725,12.455081,4.278464,14.335452,3.678294,3.245301,24.417082,10.688712,18.378345,15.102456,15.102456
5.416277,3.584558,1458.231635,4.14167,37.732548,18.181283,8.900401,24.227992,18.611598,21.05312,1452.096467,25.021535,34.320129,4.662349,18.693562,4.790169,27.283075,23.912461,29237.118382,31.73296,3.737673,15.292017,34.320129,24.227992,3.918142,7.285005,4.105644,25.627226,17.858112,12.934671,54.247804,3.87851,5.594715,141.85757,21.623697,24.227992,24.854166,24.854166
6.696732,7.262845,102.97748,13.273204,51.499029,69.319507,3813.497215,74.354987,65.610765,49.710738,102.789382,44.259439,61.921289,13.345316,67.529651,9.025395,49.989012,56.273228,99.251459,57.847518,7.637099,59.918523,52.71974,74.344066,15.91026,57.912279,6.698467,43.922166,47.892332,7.253397,64.342981,18.048796,16.60957,10.509061,51.615706,74.354987,55.774619,55.774634
7.924354,6.975532,657.766953,9.489572,61.388862,53.282592,3717.843345,55.101077,56.085029,32.144642,656.921421,57.681186,63.23683,13.666081,55.479586,6.686079,57.130644,50.928174,6615.678147,61.676134,6.679977,63.508763,63.23683,55.101077,8.073057,29.154147,6.774304,58.780358,56.194748,5.012454,68.228184,11.682841,11.383036,3571.112387,55.298736,55.101077,52.636402,52.636402
12.582663,7.537904,1251.809378,8.86153,22.661116,59.70758,8.009761,58.736142,60.664013,13.432331,1251.809378,20.186931,23.95246,23.549235,9.771192,11.924178,22.445267,20.115605,10257.223969,36.427473,7.822083,36.690752,24.180105,58.736142,9.474981,14.669286,11.915924,28.274535,37.969891,5.07645,35.989059,14.05408,12.455674,53.94347,60.896257,58.736142,61.287109,61.287109
10.978995,9.560284,1304.720536,53.053707,84.181319,148.621967,341.650033,158.231726,157.151329,77.727436,1304.720536,46.769437,91.450319,58.682275,27.531547,9.316601,71.951276,83.29289,825.456101,153.079856,12.670144,157.130071,91.450319,158.231726,17.896014,110.658151,7.000591,63.701332,159.313919,5.924984,128.334274,7.835142,123.960155,92.264228,155.845645,158.231726,163.799207,163.799207
5.813107,15.909718,1324.82992,6.507753,52.862936,46.34174,3628.436476,80.598856,94.320569,39.812189,1324.82992,15.174217,54.757354,15.920982,101.983079,9.190178,53.577282,45.851183,1394.664016,79.220109,17.343952,20.6591,54.757354,82.03526,6.001807,19.72615,13.193988,49.943921,23.511557,1105.076219,92.16663,5.888659,8.791274,3416.280722,18.539016,80.598856,29.383959,29.383959
38.509885,51.608425,1439.559423,22.821155,53.882694,39.344557,2317.634534,40.111312,39.988909,47.741823,1439.5817,34.957328,46.161369,20.963364,2853.377581,35.705633,49.877345,42.393986,729.075832,42.066108,43.121749,34.382253,46.144164,40.109983,27.959361,35.579206,28.875149,42.438121,31.050681,22.318811,42.865733,34.789164,27.29248,30.209377,34.795486,40.111312,40.486621,40.4833
5.33314,5.44501,2229.553889,8.005868,16.445332,23.868534,32.458045,28.173641,27.617893,19.405412,2257.157799,11.737935,20.266738,9.301078,7292.957222,5.352292,13.601981,13.777174,4990.247041,25.890495,6.006285,23.97329,20.266738,28.154594,7.509233,11.565886,5.397061,19.247894,24.397854,7.23228,22.820946,6.990018,8.501348,38.033116,28.312679,28.173641,27.833942,27.833942
9.244477,7.030382,224.103426,4.841721,38.167384,47.532086,313.208428,38.112626,37.025412,29.731913,224.103426,17.424322,37.16936,6.506827,29.216187,5.855024,39.446459,40.696265,985.604403,39.315975,6.097585,37.119767,37.16936,38.112626,7.40435,46.765799,6.964963,24.543253,41.335086,3.39496,40.496083,5.695511,7.191623,279.713277,39.808078,38.112626,47.940645,47.940645
14.828936,11.540228,1337.640717,20.767413,46.710025,65.466475,10.699282,83.203361,69.711678,43.121233,1337.640717,27.804117,68.469447,15.284988,46.454107,8.868327,42.260944,56.179367,545.695695,74.401289,7.774392,58.92191,68.469447,83.203361,9.588354,27.276397,10.779914,72.576596,59.19816,4.110075,85.474353,8.378551,27.050598,9.160961,83.136352,83.203361,74.195058,74.19609
6.596213,6.12963,127.716793,9.072292,51.367273,56.092412,7.517347,55.608238,53.050808,25.404444,127.692927,22.657814,43.111972,8.655291,15.967233,5.423805,31.317327,39.116493,8383.829979,64.871065,6.444452,42.576086,37.528727,55.607731,8.513517,8.688036,6.018027,45.819361,41.416678,6.411464,57.911862,6.185139,9.148593,62132.534269,42.079673,55.608238,54.70544,54.70544
14.989594,12.315586,1430.518123,16.60257,53.418102,70.321904,24582.868264,77.669102,60.483908,18.412036,1430.518123,60.693836,53.272203,21.015972,141.059423,11.834747,57.304244,45.866478,1791.679875,70.872852,11.785617,46.579231,53.272203,77.669102,10.549344,54.437233,11.932648,37.454676,39.986692,17.732136,113.257558,10.934666,18.251393,22950.352745,48.729134,77.669102,76.492058,76.492058
