SER_9_1,SER_6_3,F2,MEM2
14.154839,13.400375,10.189392,11.339671
27.627733,30.902677,17.78013,14.878916
10.967656,31.730132,9.715306,11.523227
14.18261,14.969059,11.773841,9.525196
6.971128,6.189755,5.661809,4.731567
19.088529,20.89002,9.606717,9.29296
12.512174,14.775684,8.808416,21.380725
8.743312,8.788228,4.69727,4.377583
8.34282,6.48927,5.731138,5.855186
27.263213,32.381065,31.6821,23.648882
6.962784,5.293811,3.107258,2.802012
9.135539,10.408557,7.948028,13.744161
4.319926,3.384178,3.069119,3.033617
13.344205,15.264265,7.652693,7.106283
6.321461,5.170693,3.622543,8.157646
15.314001,13.943751,8.429815,10.870546
3.703748,3.498413,3.352353,3.452786
15.097879,15.54504,9.125135,13.111991
18.297581,16.369368,9.127449,10.948685
12.823033,14.616657,8.045293,8.256801
5.792845,5.792641,4.466914,4.947467
8.632457,8.740452,6.683175,5.492848
14.69774,16.123991,10.123541,13.103961
16.425596,14.876242,7.238588,10.410038
19.28489,22.641765,8.617018,16.710029
26.090979,23.867653,7.622065,6.641503
3.136612,3.468604,3.142052,3.252554
5.112572,5.803048,2.804133,2.616236
16.260688,14.966338,8.893226,9.789791
10.348121,11.680838,6.003694,6.548918
13.882307,12.030306,6.250157,8.124409
101.983506,106.668552,11.961995,11.471459
8.647721,8.442401,4.20134,6.107435
26.923964,26.577901,26.822682,21.161728
8.286424,12.08434,5.434555,6.866479
8.202483,6.438687,3.566255,4.362524
17.955903,19.902508,5.352715,9.7957
9.157609,9.236976,6.678971,7.608755
12.746827,17.280324,9.584196,10.129216
13.309927,10.721792,7.386855,7.889544
16.665025,11.420316,6.621559,6.722752
6.217403,4.420091,3.62853,4.841938
151.301637,123.502431,123.387784,104.904376
2.182159,1.855972,1.594862,1.691532
31.540046,33.672057,30.768972,29.998431
20.945405,22.266088,4.948138,5.906252
18.361374,21.959253,11.155496,8.026021
63.637729,82.004745,92.228503,77.739896
12.843343,13.718265,10.780027,9.956908
6.624124,8.218243,8.418686,6.908221
16.843631,20.892741,18.266116,19.941871
8.946923,9.36116,11.275771,4.980371
118.24522,111.125396,83.992894,28.926287
95.167256,112.963585,70.537051,39.210689
73.10947,87.983891,17.021437,19.034741
97.374614,99.636641,63.422339,81.595943
26.0252,33.376389,30.471124,15.573272
46.562589,71.77931,7.269731,6.936223
133.10466,195.054628,34.935298,26.758017
37.074525,39.950014,10.636074,22.258071
43.47718,41.969376,21.519201,78.53034
14.706146,12.760987,8.225189,15.94088
57.84786,62.795435,62.328775,21.222036
46.130663,62.494977,10.833017,14.259257
