MEM2,MEM4,SAF,F2,LIN
11.339671,11.693338,11.693338,10.189392,12.132375
14.878916,19.06501,19.06501,17.78013,13.470187
11.523227,10.96548,10.96548,9.715306,15.413674
9.525196,7.739056,7.739056,11.773841,12.02658
4.731567,5.179672,5.179672,5.661809,6.692115
9.29296,8.04382,8.04382,9.606717,16.411945
21.380725,14.99313,14.99313,8.808416,9.589617
4.377583,5.781823,5.781823,4.69727,5.678342
5.855186,5.244199,5.244199,5.731138,5.510287
23.648882,25.744641,25.744641,31.6821,31.712002
2.802012,2.84197,2.84197,3.107258,3.13055
13.744161,5.94758,5.94758,7.948028,10.164356
3.033617,5.263917,5.263917,3.069119,4.239585
7.106283,6.372604,6.372604,7.652693,11.738901
8.157646,3.725021,3.725021,3.622543,9.844738
10.870546,9.686706,9.686706,8.429815,12.291294
3.452786,3.588057,3.588057,3.352353,3.433552
13.111991,7.800692,7.800692,9.125135,21.883256
10.948685,7.42216,7.42216,9.127449,13.00794
8.256801,5.482089,5.482089,8.045293,10.745013
4.947467,4.819208,4.819208,4.466914,5.524326
5.492848,5.170785,5.170785,6.683175,7.415137
13.103961,7.774816,7.774816,10.123541,10.719216
10.410038,7.794341,7.794341,7.238588,8.140446
16.710029,9.123884,9.123884,8.617018,7.014944
6.641503,6.348754,6.348754,7.622065,10.219415
3.252554,3.058418,3.058418,3.142052,3.221013
2.616236,2.436624,2.436624,2.804133,3.361531
9.789791,8.95634,8.95634,8.893226,10.167189
6.548918,5.538135,5.538135,6.003694,6.522845
8.124409,6.079059,6.079059,6.250157,6.349944
11.471459,13.906507,13.906507,11.961995,14.45421
6.107435,4.262599,4.262599,4.20134,5.420606
21.161728,25.726936,25.726936,26.822682,47.11195
6.866479,5.037942,5.037942,5.434555,7.093403
4.362524,4.636581,4.636581,3.566255,4.157999
9.7957,5.150008,5.150008,5.352715,13.59653
7.608755,5.749518,5.749518,6.678971,10.17599
10.129216,14.284904,14.284904,9.584196,15.107964
7.889544,7.084132,7.084132,7.386855,10.548617
6.722752,7.417955,7.417955,6.621559,20.6396
4.841938,4.203731,4.203731,3.62853,5.146835
104.904376,105.210509,105.210509,123.387784,67.862348
1.691532,1.591173,1.591173,1.594862,1.959695
29.998431,18.632077,18.632077,30.768972,25.762799
5.906252,6.425025,6.425025,4.948138,9.865778
8.026021,10.339458,10.339458,11.155496,11.633474
77.739896,117.278045,117.278045,92.228503,125.267919
9.956908,6.424469,6.424469,10.780027,9.659724
6.908221,7.518308,7.518308,8.418686,6.42545
19.941871,19.753267,19.753267,18.266116,20.450925
4.980371,9.54217,9.54217,11.275771,9.355626
28.926287,48.685363,48.685363,83.992894,96.330514
39.210689,23.841772,23.841772,70.537051,40.384034
19.034741,14.032862,14.032862,17.021437,31.005054
81.595943,62.974382,62.974382,63.422339,63.741123
15.573272,44.634883,44.634883,30.471124,32.62044
6.936223,6.616017,6.616017,7.269731,7.334787
26.758017,25.538886,25.538886,34.935298,112.511871
22.258071,11.191466,11.191466,10.636074,15.696512
78.53034,42.624403,42.624403,21.519201,37.186641
15.94088,25.783389,25.783389,8.225189,20.104546
21.222036,14.453198,14.453198,62.328775,65.419955
14.259257,10.793585,10.793585,10.833017,11.912448
