MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
12.711979,11.339671,9.82932,11.693338,11.693338,10.189392,28.584651
26.669713,14.878916,20.424562,19.06501,19.06501,17.78013,36.486458
14.044297,11.523227,11.135973,10.96548,10.96548,9.715306,82.024354
9.227312,9.525196,10.42667,7.739056,7.739056,11.773841,36.321292
6.235898,4.731567,4.799712,5.179672,5.179672,5.661809,16.37069
13.543611,9.29296,16.551461,8.04382,8.04382,9.606717,48.181763
14.544537,21.380725,22.094259,14.99313,14.99313,8.808416,64.223723
4.6737,4.377583,4.514151,5.781823,5.781823,4.69727,13.716617
7.130453,5.855186,5.208433,5.244199,5.244199,5.731138,11.106849
23.387413,23.648882,24.870208,25.744641,25.744641,31.6821,39.292695
3.286284,2.802012,2.499003,2.84197,2.84197,3.107258,6.521332
6.440415,13.744161,5.942593,5.94758,5.94758,7.948028,19.301318
4.797067,3.033617,3.476574,5.263917,5.263917,3.069119,15.899894
7.165974,7.106283,8.463995,6.372604,6.372604,7.652693,17.230593
3.528973,8.157646,7.554776,3.725021,3.725021,3.622543,5.733986
12.424793,10.870546,9.084316,9.686706,9.686706,8.429815,19.249712
3.680345,3.452786,3.364977,3.588057,3.588057,3.352353,4.08934
11.626997,13.111991,11.772428,7.800692,7.800692,9.125135,24.709617
8.279413,10.948685,9.306512,7.42216,7.42216,9.127449,18.950847
4.783913,8.256801,6.43569,5.482089,5.482089,8.045293,11.674249
4.460419,4.947467,4.899004,4.819208,4.819208,4.466914,9.665967
5.122662,5.492848,5.395304,5.170785,5.170785,6.683175,13.42673
8.505009,13.103961,8.238427,7.774816,7.774816,10.123541,20.759176
10.323334,10.410038,8.744198,7.794341,7.794341,7.238588,16.411303
6.843984,16.710029,11.583777,9.123884,9.123884,8.617018,33.903356
7.812139,6.641503,6.437919,6.348754,6.348754,7.622065,41.603525
2.987027,3.252554,3.172277,3.058418,3.058418,3.142052,11.089711
2.847557,2.616236,2.784098,2.436624,2.436624,2.804133,17.945523
9.790318,9.789791,8.225007,8.95634,8.95634,8.893226,42.477566
6.584409,6.548918,6.571946,5.538135,5.538135,6.003694,44.309461
5.973962,8.124409,5.614747,6.079059,6.079059,6.250157,52.785077
10.732897,11.471459,11.749484,13.906507,13.906507,11.961995,57.582037
7.388965,6.107435,5.698518,4.262599,4.262599,4.20134,48.946707
25.496731,21.161728,17.856651,25.726936,25.726936,26.822682,39.113083
6.526389,6.866479,7.199931,5.037942,5.037942,5.434555,14.537522
3.982335,4.362524,4.408057,4.636581,4.636581,3.566255,20.575583
8.663618,9.7957,10.829715,5.150008,5.150008,5.352715,52.235772
6.80708,7.608755,8.648812,5.749518,5.749518,6.678971,24.063585
11.181865,10.129216,10.341845,14.284904,14.284904,9.584196,43.442357
14.453873,7.889544,7.660726,7.084132,7.084132,7.386855,99.334195
8.485911,6.722752,7.1267,7.417955,7.417955,6.621559,22.962118
5.70164,4.841938,4.931061,4.203731,4.203731,3.62853,15.524018
99.920404,104.904376,99.46904,105.210509,105.210509,123.387784,139.069256
1.946777,1.691532,1.665376,1.591173,1.591173,1.594862,2.01923
41.756064,29.998431,28.932545,18.632077,18.632077,30.768972,335.031857
11.291666,5.906252,5.414241,6.425025,6.425025,4.948138,51.426488
23.510644,8.026021,10.835627,10.339458,10.339458,11.155496,71.629604
80.105936,77.739896,88.179146,117.278045,117.278045,92.228503,98.654202
11.995864,9.956908,8.848901,6.424469,6.424469,10.780027,26.676406
12.575087,6.908221,6.984076,7.518308,7.518308,8.418686,34.684632
27.500598,19.941871,23.115931,19.753267,19.753267,18.266116,34.918757
5.827028,4.980371,6.083636,9.54217,9.54217,11.275771,48.31775
27.134045,28.926287,46.556526,48.685363,48.685363,83.992894,81.119938
37.987752,39.210689,44.289456,23.841772,23.841772,70.537051,108.758859
27.128274,19.034741,18.281182,14.032862,14.032862,17.021437,111.173875
67.230318,81.595943,67.310249,62.974382,62.974382,63.422339,659.353174
24.865155,15.573272,21.229318,44.634883,44.634883,30.471124,95.336328
7.86865,6.936223,6.88917,6.616017,6.616017,7.269731,118.676965
39.557587,26.758017,65.002457,25.538886,25.538886,34.935298,384.751093
16.862555,22.258071,22.176016,11.191466,11.191466,10.636074,38.284935
66.360887,78.53034,64.33419,42.624403,42.624403,21.519201,47.239527
18.109259,15.94088,16.294745,25.783389,25.783389,8.225189,30.027841
19.632107,21.222036,17.842435,14.453198,14.453198,62.328775,164.038495
20.249408,14.259257,10.528865,10.793585,10.793585,10.833017,142.853316
