LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
12.132375,14.167468,13.775382,14.154839,13.400375,11.339671,12.711979,11.693338,10.189392
13.470187,32.99398,24.623678,27.627733,30.902677,14.878916,26.669713,19.06501,17.78013
15.413674,9.672263,10.136435,10.967656,31.730132,11.523227,14.044297,10.96548,9.715306
12.02658,13.579835,11.971992,14.18261,14.969059,9.525196,9.227312,7.739056,11.773841
6.692115,8.140575,7.567129,6.971128,6.189755,4.731567,6.235898,5.179672,5.661809
16.411945,17.974662,25.433778,19.088529,20.89002,9.29296,13.543611,8.04382,9.606717
9.589617,12.505004,10.391863,12.512174,14.775684,21.380725,14.544537,14.99313,8.808416
5.678342,7.099439,6.956969,8.743312,8.788228,4.377583,4.6737,5.781823,4.69727
5.510287,5.739646,5.804832,8.34282,6.48927,5.855186,7.130453,5.244199,5.731138
31.712002,33.335357,32.570806,27.263213,32.381065,23.648882,23.387413,25.744641,31.6821
3.13055,6.355519,5.132078,6.962784,5.293811,2.802012,3.286284,2.84197,3.107258
10.164356,8.618103,10.609503,9.135539,10.408557,13.744161,6.440415,5.94758,7.948028
4.239585,2.882607,3.139714,4.319926,3.384178,3.033617,4.797067,5.263917,3.069119
11.738901,13.393671,11.833166,13.344205,15.264265,7.106283,7.165974,6.372604,7.652693
9.844738,7.898426,6.625285,6.321461,5.170693,8.157646,3.528973,3.725021,3.622543
12.291294,10.738493,11.572933,15.314001,13.943751,10.870546,12.424793,9.686706,8.429815
3.433552,3.779644,3.77945,3.703748,3.498413,3.452786,3.680345,3.588057,3.352353
21.883256,15.156415,21.642798,15.097879,15.54504,13.111991,11.626997,7.800692,9.125135
13.00794,17.44853,16.888887,18.297581,16.369368,10.948685,8.279413,7.42216,9.127449
10.745013,11.138527,12.495256,12.823033,14.616657,8.256801,4.783913,5.482089,8.045293
5.524326,5.111203,5.716812,5.792845,5.792641,4.947467,4.460419,4.819208,4.466914
7.415137,6.884592,7.318738,8.632457,8.740452,5.492848,5.122662,5.170785,6.683175
10.719216,10.911725,16.137495,14.69774,16.123991,13.103961,8.505009,7.774816,10.123541
8.140446,12.117909,9.611312,16.425596,14.876242,10.410038,10.323334,7.794341,7.238588
7.014944,14.767529,13.678523,19.28489,22.641765,16.710029,6.843984,9.123884,8.617018
10.219415,19.226502,9.769542,26.090979,23.867653,6.641503,7.812139,6.348754,7.622065
3.221013,3.095849,3.078042,3.136612,3.468604,3.252554,2.987027,3.058418,3.142052
3.361531,3.996715,3.739907,5.112572,5.803048,2.616236,2.847557,2.436624,2.804133
10.167189,13.277361,10.364388,16.260688,14.966338,9.789791,9.790318,8.95634,8.893226
6.522845,9.715869,9.520406,10.348121,11.680838,6.548918,6.584409,5.538135,6.003694
6.349944,8.894201,8.873024,13.882307,12.030306,8.124409,5.973962,6.079059,6.250157
14.45421,45.472755,39.72954,101.983506,106.668552,11.471459,10.732897,13.906507,11.961995
5.420606,6.953761,6.500319,8.647721,8.442401,6.107435,7.388965,4.262599,4.20134
47.11195,23.530502,23.290664,26.923964,26.577901,21.161728,25.496731,25.726936,26.822682
7.093403,7.947372,7.934363,8.286424,12.08434,6.866479,6.526389,5.037942,5.434555
4.157999,4.576973,4.205381,8.202483,6.438687,4.362524,3.982335,4.636581,3.566255
13.59653,15.017907,18.626154,17.955903,19.902508,9.7957,8.663618,5.150008,5.352715
10.17599,8.639038,9.197517,9.157609,9.236976,7.608755,6.80708,5.749518,6.678971
15.107964,13.494469,15.157285,12.746827,17.280324,10.129216,11.181865,14.284904,9.584196
10.548617,6.799028,8.407462,13.309927,10.721792,7.889544,14.453873,7.084132,7.386855
20.6396,8.554801,11.30121,16.665025,11.420316,6.722752,8.485911,7.417955,6.621559
5.146835,5.121264,5.059261,6.217403,4.420091,4.841938,5.70164,4.203731,3.62853
67.862348,114.364746,95.309761,151.301637,123.502431,104.904376,99.920404,105.210509,123.387784
1.959695,2.063255,2.107354,2.182159,1.855972,1.691532,1.946777,1.591173,1.594862
25.762799,33.17818,20.852573,31.540046,33.672057,29.998431,41.756064,18.632077,30.768972
9.865778,15.794987,12.971595,20.945405,22.266088,5.906252,11.291666,6.425025,4.948138
11.633474,10.668176,12.054417,18.361374,21.959253,8.026021,23.510644,10.339458,11.155496
