LIN,S3_V1_D3,S3_V2_D1,S3_V10_D1,S3_V10_D4,S4_V7_D1,S4_V4_D3,S4_V9_D2,S4_V3_D1,S4_V9_D4
10.315512,12.314864,13.775382,368.358552,13.994194,13.509338,295.142804,79.837538,347.42227,15.643329
13.157695,27.486626,24.260045,464.046318,21.963091,26.817451,210.23171,30.515377,494.000051,30.777909
15.734529,15.589568,10.005476,681.250942,9.719489,21.747035,257.035055,147.018202,534.329055,11.369278
11.283714,10.324937,15.145577,253.134755,13.936884,16.99972,111.55413,14.065686,263.394742,28.454654
5.533402,28.168522,7.55208,457.522642,8.39337,7.106023,227.029248,48.139011,471.512443,9.175018
16.213017,13.38455,82.38858,1119.902468,19.243501,22.307661,189.420233,60.224516,325.950515,20.961266
10.066958,19.074196,10.420232,421.88976,10.871754,15.838195,126.238635,59.031309,380.964253,13.960653
4.412471,5.09644,6.959762,321.58216,6.549086,8.633259,89.708683,61.243595,210.608697,9.384892
6.57847,14.034164,5.784169,192.04171,6.273367,7.144682,105.722505,106.346462,118.534913,6.885326
33.901825,37.372561,32.549977,244.209334,32.735119,25.930246,126.499319,102.9085,180.698553,35.430101
2.976576,5.497058,5.132078,87.843176,6.132717,8.736032,14.093274,6.234395,75.220694,6.504446
11.941565,54.922324,9.315794,873.074263,8.579533,9.84058,419.962105,45.435789,875.046757,10.491149
4.077096,4.968975,3.158276,423.138495,2.931515,4.40583,178.478675,20.116482,333.348147,3.257702
11.802721,9.563812,11.687372,248.712825,12.275741,13.241527,23.942843,23.867696,55.213153,16.393925
7.269371,3.518402,7.688925,315.944964,4.159857,4.836887,87.18935,34.869196,206.558475,7.493418
12.330922,8.907945,11.826024,386.596926,17.171093,16.124352,103.163421,30.531486,171.315056,11.74333
3.508232,11.694807,3.803601,42.014509,3.788821,3.701354,38.911067,5.585272,54.436558,3.579101
25.137162,87.840928,28.479439,633.476479,16.350173,13.506536,485.287019,41.723378,762.84731,30.188823
16.013472,9.754007,16.888887,376.075691,17.569326,21.051431,78.319923,62.39336,339.100844,17.035013
10.558399,4.437743,16.18444,162.937861,14.778045,16.971243,30.917099,22.508749,52.713758,55.388854
5.729487,7.291489,7.793201,104.495084,5.886331,5.872648,54.429636,31.636539,77.175464,9.136968
6.879326,9.678219,7.419555,148.760849,7.609468,8.730239,69.583938,23.777631,88.065931,9.215896
128.602919,11.629865,110.277578,866.378551,201.965938,14.778753,382.33985,156.31168,231.052289,81.244514
16.801016,24.247075,17.158564,260.84227,12.344408,21.014161,116.260359,16.054231,223.894243,20.210884
8.324391,18.912245,14.752112,881.48646,11.767753,35.880566,857.767759,106.51629,814.400905,22.690239
14.147482,17.03491,10.807769,657.793738,11.366861,24.247676,264.858599,27.550191,150.016517,19.522304
3.481176,3.792835,3.068737,98.470596,3.081093,3.680592,24.008237,11.766581,110.673651,3.177831
5.49867,3.580149,3.657794,210.523126,4.310057,5.80988,77.233282,18.814766,123.490003,4.778579
10.891264,12.349531,10.479812,333.956965,13.075897,29.737178,70.587888,37.638223,138.714804,13.640132
8.448247,43.954352,9.520406,243.371921,56.224732,14.410773,259.140454,99.759858,312.868163,10.957687
7.942806,19.957631,9.312378,623.568316,63.501334,12.197947,256.715738,73.070668,195.825184,13.99957
18.246571,23.502893,41.391012,675.838729,65.478382,120.824931,161.311951,140.214162,565.928792,75.34924
5.732443,10.266433,7.339317,697.796436,7.586672,11.486162,132.771126,73.264055,183.724896,19.642893
32.180816,26.794264,23.83626,960.349504,22.339187,32.751738,522.090869,91.797096,465.981147,85.822613
7.951496,19.758044,7.934367,266.820896,8.039386,9.063087,141.249536,140.16757,160.538736,8.245064
4.335303,11.50366,4.161445,300.623416,4.689892,10.951175,119.081557,39.866114,201.882421,7.414401
14.384116,13.260289,22.303951,848.570882,21.086696,18.223096,524.395685,32.229116,909.93401,30.877136
9.026517,10.955273,9.974172,238.396377,8.747912,11.375355,65.245747,8.912256,217.016443,13.275286
14.339029,25.640142,15.161511,577.881747,16.455081,17.776353,327.145311,216.286419,621.290402,21.823236
8.67294,16.50581,8.024097,1675.134481,12.492288,14.05141,1194.658139,418.08441,794.650334,11.051646
17.470872,12.093266,11.555757,1175.879043,14.854382,44.24489,447.852389,164.173771,670.937294,51.884823
5.326727,8.616004,6.952743,309.484681,5.415869,6.101121,196.762279,114.438499,131.691248,5.378848
43.250146,67.1857,86.059721,1738.52983,96.52869,187.595129,831.167247,493.576399,589.324346,123.779268
2.254115,2.312325,2.107354,79.940485,2.063255,2.289756,75.422007,13.861697,10.369631,2.063255
36.700922,55.045106,31.03701,1909.852802,31.669461,37.73582,1475.518154,644.938472,673.766474,222.328047
12.464364,10.024912,11.955667,455.419479,14.202092,21.723045,270.392397,147.825941,240.890024,23.94259
13.947651,17.46406,16.155873,1266.924319,21.733155,14.657521,825.818766,283.539414,218.062278,165.311418
108.217822,100.26481,56.886578,717.505088,86.555727,151.72644,248.542878,215.576383,369.537138,88.063456
9.518789,9.786043,9.527512,272.788444,9.628154,20.069672,106.320602,30.798088,204.782195,20.273622
6.932593,77.735445,7.5099,239.533275,5.832945,6.23036,187.559014,17.668621,167.277244,6.544249
30.73157,39.460907,18.734785,211.283431,18.541196,22.289333,200.062751,29.356736,235.74435,21.610318
11.973834,61.995292,6.573746,649.740048,6.485677,14.162432,416.212576,290.012104,582.372644,7.813782
65.320341,72.693059,109.490031,811.703835,118.560079,122.604926,413.26427,131.051576,572.337194,110.285167
38.273294,32.157059,72.941677,1337.230785,58.350197,103.513684,731.904207,402.40555,991.684426,107.100407
38.02784,47.358699,38.093555,1214.686601,64.592302,88.529452,912.398338,392.524962,701.261769,57.606992
222.297343,254.750586,50.067396,2200.857677,114.679366,156.550345,2654.015311,328.673001,1375.487122,93.137723
49.716548,58.287526,403.225583,569.940416,29.134021,21.599418,182.639293,56.363159,278.383056,236.955493
21.333945,35.708084,35.220675,397.028434,32.485424,35.513203,143.80436,34.575775,320.965037,75.28828
447.389572,250.636647,379.609643,4255.840657,175.445319,103.376011,2764.513182,1974.655293,948.503515,695.56761
16.360237,61.839224,36.56825,633.410667,35.266498,40.127515,225.734438,103.774112,678.534819,50.416692
59.718319,191.547592,175.919902,2075.919434,80.537861,40.201476,1349.165832,412.972547,1522.406596,402.581734
15.33845,17.00131,19.034988,1932.333273,13.365784,11.426407,783.541652,128.736337,736.022976,90.314988
596.548207,65.797899,45.5674,1889.223056,42.456148,97.312013,548.185268,115.238353,748.859,106.642274
25.751707,48.541509,94.259153,2590.271652,59.113176,53.897934,1090.085349,343.626464,1364.369246,268.066209
