FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
262.228685,97.446053,42.166629,35.659832,9.225272,10.014674,12.154036,165.110504,31.208125,193.14533,192.26984,266.484158
433.922758,179.0295,108.865516,88.68247,19.351977,26.335516,35.315193,499.466577,89.211884,424.149325,342.788557,481.462564
552.824251,350.967188,175.122855,65.178177,10.963182,10.297031,9.779947,713.064774,36.907973,468.362763,403.660239,824.964669
209.692599,71.593014,34.235112,29.320089,6.583832,6.902388,12.676618,136.534254,98.411166,196.446226,84.520236,153.890264
337.436145,92.30173,70.661158,62.155157,5.184471,5.677401,4.886867,235.108627,15.863966,201.145222,167.226362,373.62019
475.795093,124.159541,49.275429,51.303026,23.662532,9.752058,37.600917,734.183135,35.050608,202.569379,494.592084,537.729035
361.503392,100.824903,37.21665,28.54542,11.034497,11.216225,13.282226,261.992775,56.519676,318.143825,110.26186,351.021725
165.587703,41.678365,23.218791,19.339605,4.690242,4.211472,4.969115,140.761744,19.15645,142.944328,33.165402,164.399479
159.609523,33.279684,16.447231,12.299571,6.206308,5.769003,6.658833,76.201876,7.459041,94.488486,69.850855,148.776245
193.597951,61.889729,30.520892,37.179356,24.347391,31.461857,25.181644,94.949403,39.524288,98.158702,75.723953,182.843463
60.925361,19.065485,12.460383,4.227631,3.178366,2.805292,3.075175,55.328984,4.957919,58.343973,5.073445,63.094222
772.362405,130.481904,38.13567,30.20744,8.874282,10.047324,8.395788,469.241268,22.337492,212.204245,324.029531,643.825665
273.099203,36.610743,17.117585,6.688266,4.395198,3.242274,3.345555,241.606319,8.73968,246.81337,21.161649,272.940982
96.863896,23.368893,15.198312,8.560848,6.446067,7.15647,11.575395,37.168135,13.16345,68.675472,11.011748,54.695356
144.047107,37.397048,22.374013,19.2305,3.556048,4.362154,8.068212,74.016389,4.922703,88.697007,39.417323,146.378687
216.69077,52.208481,18.745271,24.169788,4.827038,6.985551,13.494891,61.269614,13.965829,72.612739,61.259181,151.922137
43.644041,36.51796,24.874608,16.710219,4.08877,3.443053,3.678577,22.274012,6.179388,25.785212,57.177195,45.443109
814.79413,265.366411,80.012492,35.774445,10.067074,24.137714,13.98186,772.279467,254.016551,723.209991,685.519766,886.739959
275.484231,93.080457,43.415782,43.949916,8.506292,6.941372,19.224907,226.284245,49.140886,146.648266,75.644548,256.944292
106.248173,32.612944,11.183251,8.341343,5.455365,4.373818,11.912355,74.827065,21.853212,46.687229,101.062181,65.197735
77.984503,12.167657,7.77588,8.827257,5.646126,5.889536,5.481099,65.798322,6.471885,27.281253,11.458072,87.779687
99.508343,39.32532,14.829918,17.278532,4.160422,6.055439,6.204607,144.926332,17.323458,60.710263,76.271709,122.711206
607.379366,453.648457,193.527073,106.662747,9.185467,9.241862,11.749684,584.289939,28.062249,324.528444,618.330251,1156.74943
316.806956,198.186208,109.776644,107.275411,37.538985,6.296293,16.900779,146.420989,42.721301,196.525054,152.264199,323.15488
871.535169,255.587222,86.158255,116.418177,12.846676,7.920598,14.94619,1203.973768,224.526698,728.644327,606.017445,724.522663
820.482548,185.211326,73.419043,85.756066,10.421417,6.036818,9.585339,370.676134,74.675358,395.706946,166.39402,399.514361
90.452454,29.493816,14.573353,8.119783,3.134774,3.116318,2.87473,48.024487,3.858223,55.236661,28.276157,73.490687
156.938693,81.602567,21.961388,31.813117,2.571149,2.597146,5.626367,99.240035,37.936327,51.298818,117.59913,217.359651
291.09111,99.655228,28.190942,20.005203,8.141958,7.887381,18.365273,169.111008,64.601501,147.399499,246.023516,201.630031
329.806376,96.658982,40.39174,31.447471,8.091477,7.301607,6.372571,193.45413,272.261253,155.376324,226.360829,259.188373
345.131881,153.726202,58.511762,51.245813,9.402305,5.293761,9.828759,331.733529,182.960239,148.785481,169.876209,161.776433
580.636096,120.526885,56.983448,40.43806,15.169924,11.451631,23.548806,504.878225,156.914402,473.457986,334.824226,425.691458
619.90322,162.799298,154.079009,112.587386,4.857291,4.021582,5.319382,545.454614,28.705503,262.280443,481.73521,529.085892
1004.80809,456.862197,239.344828,186.203604,22.170261,58.450948,38.2507,323.414848,47.510594,341.731684,732.613569,784.832124
214.680986,141.736219,48.153993,42.633037,6.477307,5.827777,7.901569,79.000563,15.341994,80.357391,216.534483,214.509749
222.650084,79.477959,21.372595,35.725917,3.423072,3.836945,8.381696,180.195346,18.43365,127.024374,72.080607,199.40145
771.332648,258.336382,107.081495,39.386157,25.843966,4.396683,8.626974,449.145724,327.490941,389.618188,578.399288,826.323395
210.797412,97.476167,33.35358,30.037242,10.520424,8.19905,15.888553,188.576604,53.737633,225.393315,95.697837,203.374435
546.771293,215.063532,73.326908,84.855595,12.080957,10.821208,8.435232,769.239462,21.29983,572.218584,385.843771,496.514365
1455.13146,433.01669,117.140473,164.150683,9.718397,8.691014,20.029947,988.114065,150.57487,902.994016,928.50695,1294.869196
1051.102387,127.01541,44.651738,49.683707,5.707345,7.486973,13.348961,597.746935,31.476311,470.37646,546.388921,373.86528
