FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5,MEM1,MEM2
262.228685,97.446053,42.166629,35.659832,9.225272,10.014674,10.315512,30.818328,44.016964,35.347432,32.179454,9.142269,16.357913,12.529108
433.922758,179.0295,108.865516,88.68247,19.351977,26.335516,13.157695,82.620463,177.134689,110.024215,65.641797,41.086106,53.318784,22.340291
552.824251,350.967188,175.122855,65.178177,10.963182,10.297031,15.734529,42.377547,25.867276,53.359044,40.84474,29.551972,57.528332,11.880721
209.692599,71.593014,34.235112,29.320089,6.583832,6.902388,11.283714,103.559182,382.293863,209.945692,37.816944,14.622354,27.756111,11.734974
337.436145,92.30173,70.661158,62.155157,5.184471,5.677401,5.533402,69.80474,71.778973,86.40217,66.37943,16.847911,55.34765,5.632005
475.795093,124.159541,49.275429,51.303026,23.662532,9.752058,16.213017,21.831226,19.16502,22.691589,29.838076,17.570012,150.667872,31.811098
361.503392,100.824903,37.21665,28.54542,11.034497,11.216225,10.066958,43.810313,92.397644,53.209491,56.784884,25.472313,57.872037,40.10611
165.587703,41.678365,23.218791,19.339605,4.690242,4.211472,4.412471,5.873624,9.393673,12.280689,33.411709,6.312616,8.135977,5.223137
159.609523,33.279684,16.447231,12.299571,6.206308,5.769003,6.57847,14.820988,14.658372,15.456849,23.925744,7.83523,8.764206,5.344944
193.597951,61.889729,30.520892,37.179356,24.347391,31.461857,33.901825,51.320669,49.630567,55.037463,60.649806,38.26017,33.416132,22.731466
60.925361,19.065485,12.460383,4.227631,3.178366,2.805292,2.976576,27.270194,30.245622,33.413399,33.183865,12.444368,2.428349,2.812212
772.362405,130.481904,38.13567,30.20744,8.874282,10.047324,11.941565,27.160425,76.668848,36.162205,41.768783,13.396744,20.431424,7.94324
273.099203,36.610743,17.117585,6.688266,4.395198,3.242274,4.077096,18.059777,13.477017,21.55229,40.039331,8.813385,5.653732,2.966579
96.863896,23.368893,15.198312,8.560848,6.446067,7.15647,11.802721,16.03323,10.706045,20.205458,18.30628,12.272786,7.432091,6.512681
144.047107,37.397048,22.374013,19.2305,3.556048,4.362154,7.269371,7.376309,25.453036,7.812949,8.494838,5.292958,4.89992,6.401864
216.69077,52.208481,18.745271,24.169788,4.827038,6.985551,12.330922,10.991236,11.9578,12.152818,21.162589,9.459896,13.297182,6.954625
43.644041,36.51796,24.874608,16.710219,4.08877,3.443053,3.508232,12.147707,17.012044,13.302952,7.177696,15.111838,5.457182,3.021894
814.79413,265.366411,80.012492,35.774445,10.067074,24.137714,25.137162,127.545463,112.583011,129.83216,40.648781,42.16812,104.515299,13.256164
275.484231,93.080457,43.415782,43.949916,8.506292,6.941372,16.013472,24.401003,17.922154,23.71322,30.571868,15.061275,19.193971,8.180169
106.248173,32.612944,11.183251,8.341343,5.455365,4.373818,10.558399,18.409174,15.650817,20.918122,20.442751,10.856457,11.391114,8.609025
77.984503,12.167657,7.77588,8.827257,5.646126,5.889536,5.729487,8.449459,9.152551,11.203191,7.313979,5.793972,6.929209,4.7568
99.508343,39.32532,14.829918,17.278532,4.160422,6.055439,6.879326,14.754951,15.366709,17.435105,18.466151,7.662943,7.825091,4.836306
607.379366,453.648457,193.527073,106.662747,9.185467,9.241862,128.602919,15.954418,17.135084,22.514135,21.999222,16.203387,105.265623,9.073834
316.806956,198.186208,109.776644,107.275411,37.538985,6.296293,16.801016,39.165671,46.917846,47.22205,27.169366,28.183567,64.589607,9.897886
871.535169,255.587222,86.158255,116.418177,12.846676,7.920598,8.324391,18.429422,60.582958,22.375796,38.210784,14.822634,59.802343,7.839175
820.482548,185.211326,73.419043,85.756066,10.421417,6.036818,14.147482,39.284131,210.374616,117.353198,56.7478,19.684358,23.240797,8.338793
90.452454,29.493816,14.573353,8.119783,3.134774,3.116318,3.481176,7.884307,6.348448,7.939158,8.794196,4.278075,5.113327,3.140707
156.938693,81.602567,21.961388,31.813117,2.571149,2.597146,5.49867,7.991299,5.347102,9.420746,9.877601,5.443588,6.751848,2.691493
291.09111,99.655228,28.190942,20.005203,8.141958,7.887381,10.891264,25.662432,23.740381,32.846162,28.287017,17.210566,23.256021,9.410376
329.806376,96.658982,40.39174,31.447471,8.091477,7.301607,8.448247,25.386301,35.535382,27.782928,34.145814,24.504748,31.779733,8.288188
345.131881,153.726202,58.511762,51.245813,9.402305,5.293761,7.942806,63.857224,33.463219,71.459524,70.135436,23.684569,8.996038,9.151159
580.636096,120.526885,56.983448,40.43806,15.169924,11.451631,18.246571,48.172254,34.883508,52.253141,110.01082,28.932264,36.234528,10.890513
619.90322,162.799298,154.079009,112.587386,4.857291,4.021582,5.732443,15.458395,17.745999,28.271185,24.773944,44.357954,114.298367,6.170335
1004.80809,456.862197,239.344828,186.203604,22.170261,58.450948,32.180816,60.935589,62.560387,124.791264,41.171411,87.665015,116.330574,16.397178
214.680986,141.736219,48.153993,42.633037,6.477307,5.827777,7.951496,45.779586,74.321239,85.943709,15.494883,15.246558,15.994354,8.432184
222.650084,79.477959,21.372595,35.725917,3.423072,3.836945,4.335303,26.96374,25.576282,29.598825,32.695854,15.781058,13.005221,4.203208
771.332648,258.336382,107.081495,39.386157,25.843966,4.396683,14.384116,235.947502,89.321175,523.600108,53.134123,22.043463,28.202437,7.09323
210.797412,97.476167,33.35358,30.037242,10.520424,8.19905,9.026517,62.796286,64.689996,81.492461,45.935965,14.771879,18.595798,9.241572
546.771293,215.063532,73.326908,84.855595,12.080957,10.821208,14.339029,32.639438,33.529523,38.841695,39.521649,29.911282,28.251318,12.108745
1455.13146,433.01669,117.140473,164.150683,9.718397,8.691014,8.67294,14.478197,16.403161,14.167647,20.749988,13.44927,71.388065,8.926781
1051.102387,127.01541,44.651738,49.683707,5.707345,7.486973,17.470872,34.789548,17.956404,56.137447,41.976572,25.705051,15.490269,8.773906
247.405451,110.324109,21.798481,18.174275,4.387826,3.316425,5.326727,9.051646,7.793623,9.365422,10.168627,4.544138,12.308267,4.351846
1473.55961,263.426359,91.845982,91.413073,41.185172,71.028725,43.250146,68.706943,71.810009,69.303084,123.885027,120.960703,64.708506,51.174077
76.414151,63.901255,20.49287,25.132792,2.213894,1.926551,2.254115,2.298305,2.133795,2.433474,2.76495,2.38324,15.804509,1.776995
1765.820175,739.427574,478.847107,352.378452,37.403142,26.728689,36.700922,108.060309,108.484992,120.146237,136.281876,118.90567,251.173572,26.80058
378.930211,129.759941,47.899456,86.137731,4.229261,5.692676,12.464364,30.989202,24.504802,30.138698,33.787106,18.433692,42.049329,5.425457
1173.636099,266.862531,57.007286,37.386367,9.25151,10.465635,13.947651,33.293049,35.006821,37.913757,39.729107,15.788729,80.635719,6.579425
612.952411,129.472951,93.804748,118.222453,182.310211,144.294564,108.217822,117.553943,120.124217,91.16852,83.996649,109.93118,102.775131,104.469406
201.037017,53.268143,19.095239,23.23594,7.52946,16.337324,9.518789,12.773221,10.721529,27.255544,18.154728,8.140765,11.528656,14.169717
209.267967,161.328423,121.82884,126.02436,79.544003,39.551146,6.932593,69.750256,84.595074,74.953526,25.129847,37.383636,65.381107,7.517959
254.906971,170.385118,155.45009,187.004828,18.528289,18.727557,30.73157,43.950628,43.722221,46.727169,41.446798,49.254157,135.341852,19.392281
572.635625,416.037855,60.414769,140.712573,17.046068,8.209759,11.973834,15.043561,27.100879,17.723945,26.255962,23.554635,11.565885,9.275174
728.047267,289.2776,171.463129,158.937457,40.165989,132.104979,65.320341,105.113053,50.834047,218.343844,142.163089,80.31152,240.939943,44.9607
1262.609126,575.449142,165.257099,63.858163,40.63989,31.867752,38.273294,112.801234,159.284992,136.66023,203.637359,212.842278,240.58581,55.913335
1347.420353,462.056767,171.331639,104.273639,12.823276,18.431611,38.02784,81.201615,91.184255,88.014786,145.498026,125.425684,336.481795,16.953423
