MEM2,MEM3
12.529108,11.836019
22.340291,17.210083
11.880721,11.989153
11.734974,13.002088
5.632005,5.390993
31.811098,24.066005
40.10611,32.601671
5.223137,5.611306
5.344944,5.85628
22.731466,24.150232
2.812212,2.678145
7.94324,12.415754
2.966579,4.369633
6.512681,12.317187
6.401864,24.442039
6.954625,8.406836
3.021894,3.084647
13.256164,13.956718
8.180169,8.592657
8.609025,6.64101
4.7568,4.866238
4.836306,4.630775
9.073834,8.383224
9.897886,14.050965
7.839175,7.329309
8.338793,9.878905
3.140707,3.574134
2.691493,2.969033
9.410376,10.792279
8.288188,6.962317
9.151159,7.116574
10.890513,10.42876
6.170335,6.404923
16.397178,24.901728
8.432184,6.908557
4.203208,5.52252
7.09323,7.722709
9.241572,8.351874
12.108745,13.695293
8.926781,7.694274
8.773906,7.205598
4.351846,2.323276
51.174077,55.673037
1.776995,1.75236
26.80058,34.943961
5.425457,5.965118
6.579425,57.331035
104.469406,93.753234
14.169717,17.371747
7.517959,7.607807
19.392281,19.811723
9.275174,12.396152
44.9607,41.416183
55.913335,51.299618
16.953423,21.777628
175.254665,81.481101
42.610228,40.730642
10.280744,8.093111
35.571255,22.628619
15.721565,15.539481
62.000765,64.030499
7.51693,16.44596
16.831944,18.161304
13.734362,13.510426
