SAF,F2,FCFS
9.225272,10.014674,262.228685
19.351977,26.335516,433.922758
10.963182,10.297031,552.824251
6.583832,6.902388,209.692599
5.184471,5.677401,337.436145
23.662532,9.752058,475.795093
11.034497,11.216225,361.503392
4.690242,4.211472,165.587703
6.206308,5.769003,159.609523
24.347391,31.461857,193.597951
3.178366,2.805292,60.925361
8.874282,10.047324,772.362405
4.395198,3.242274,273.099203
6.446067,7.15647,96.863896
3.556048,4.362154,144.047107
4.827038,6.985551,216.69077
4.08877,3.443053,43.644041
10.067074,24.137714,814.79413
8.506292,6.941372,275.484231
5.455365,4.373818,106.248173
5.646126,5.889536,77.984503
4.160422,6.055439,99.508343
9.185467,9.241862,607.379366
37.538985,6.296293,316.806956
12.846676,7.920598,871.535169
10.421417,6.036818,820.482548
3.134774,3.116318,90.452454
2.571149,2.597146,156.938693
8.141958,7.887381,291.09111
8.091477,7.301607,329.806376
9.402305,5.293761,345.131881
15.169924,11.451631,580.636096
4.857291,4.021582,619.90322
22.170261,58.450948,1004.80809
6.477307,5.827777,214.680986
3.423072,3.836945,222.650084
25.843966,4.396683,771.332648
10.520424,8.19905,210.797412
12.080957,10.821208,546.771293
9.718397,8.691014,1455.13146
5.707345,7.486973,1051.102387
4.387826,3.316425,247.405451
41.185172,71.028725,1473.55961
2.213894,1.926551,76.414151
37.403142,26.728689,1765.820175
4.229261,5.692676,378.930211
9.25151,10.465635,1173.636099
182.310211,144.294564,612.952411
7.52946,16.337324,201.037017
79.544003,39.551146,209.267967
18.528289,18.727557,254.906971
17.046068,8.209759,572.635625
40.165989,132.104979,728.047267
40.63989,31.867752,1262.609126
12.823276,18.431611,1347.420353
91.159812,144.000771,1971.354955
69.538629,36.605496,472.033429
6.3996,8.008847,338.253094
36.637874,37.303931,4333.423887
36.233828,12.060453,594.996863
173.467927,167.792235,2029.643622
10.33883,8.288133,1846.65775
48.664148,20.511226,1676.550709
6.991617,24.078437,2507.379773
