SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
46.443548,251.274658,243.883277,33.637557,20.327083,243.883277,347.159746,311.387995,13.533486,15.607649,206.574064,243.883277,17.967557,12.48746,18.418024,74.180166,31.101237,18.769649,311.14474,349.542691,32.83079,290.413288,21.525952,14.40212,14.863282,240.445814,119.00073,154.382368,16.374569,39.402167
81.679047,341.195112,388.846113,110.089337,39.43845,388.846113,551.576154,650.918408,46.585336,31.488898,367.701382,388.846113,79.813754,29.308517,58.255752,130.959088,59.52173,36.476132,516.953868,607.069073,109.141114,544.327666,36.757385,26.571116,32.511504,496.028283,189.625429,259.13786,21.439605,113.025098
72.450962,669.779365,590.036121,259.267386,31.617859,590.036121,673.388947,631.235919,181.154981,21.595641,618.248233,590.036121,20.663516,18.720521,35.859575,292.208891,211.586701,34.029333,844.938017,630.503187,297.47836,744.650926,37.633904,10.308123,12.302271,549.213785,445.352469,421.016389,17.948183,210.084457
119.249515,231.013607,206.300175,34.96444,32.814639,206.300175,306.87368,334.101119,15.503014,20.567572,312.347907,206.300175,159.85753,11.052067,23.650152,59.405081,24.540908,17.465625,260.324849,285.017154,34.426542,579.478283,31.167668,13.68161,14.139071,410.603273,101.010381,179.105234,38.05278,36.748381
57.932716,346.79448,340.260507,26.66228,12.835896,340.260507,502.515713,387.515241,11.367622,10.647209,360.985655,340.260507,14.537255,5.411282,25.488546,123.919689,26.131791,8.591447,429.659796,477.329866,21.677352,453.315655,13.155263,6.17877,6.946683,352.156886,155.120051,99.049511,17.202503,88.627145
136.887282,778.045087,522.859068,53.002061,29.536995,522.859068,684.164294,891.249648,55.046529,59.566737,302.573408,522.859068,396.369016,17.590218,23.979833,89.030978,21.972641,23.490036,1189.077913,823.1647,53.350213,862.714645,69.235542,19.233762,23.060094,662.349452,190.517885,671.887235,31.034289,53.733721
60.056643,343.174499,369.233136,33.775096,17.507786,369.233136,521.585109,431.01554,40.890463,18.527653,199.152863,369.233136,21.600213,16.970375,30.037357,69.89792,18.238552,17.072432,438.896997,403.222039,32.34907,398.20816,24.761874,11.485622,13.153151,305.487853,109.968803,138.342665,17.874947,27.606969
33.291105,158.417509,160.286405,19.740337,15.773944,160.286405,339.803895,219.093311,8.978643,10.677438,257.624926,160.286405,13.197561,4.6135,14.058099,72.895411,10.480846,17.184407,300.990236,311.469536,18.793022,249.526946,15.124168,7.98645,8.692202,202.644799,83.562464,61.570181,6.569646,18.398413
29.536344,139.921617,154.857916,11.62361,17.579871,154.857916,193.839422,197.866509,11.821509,12.90723,170.794527,154.857916,8.783255,7.937155,8.494805,44.686628,15.384243,10.21027,201.576618,216.639577,13.153006,192.25011,12.206762,6.266997,9.098032,168.974942,73.302829,33.726404,7.003898,16.367214
72.222035,158.673801,190.710949,36.517832,33.00787,190.710949,268.087175,172.871493,29.358243,35.57457,149.091664,190.710949,36.851049,24.443653,42.031869,91.643904,29.514438,33.414416,225.163591,264.892021,33.592528,212.034137,42.268833,26.523524,27.828125,152.130334,106.133394,73.64048,31.481411,38.676306
13.951031,58.28578,60.110071,12.555386,8.505373,60.110071,98.958454,75.497817,5.527739,5.067783,70.076989,60.110071,6.234326,2.617941,7.301935,19.830003,4.196595,8.437097,85.778312,75.364249,12.547957,73.679036,7.470372,5.450209,6.551523,73.143599,23.708507,18.431592,5.408535,8.536706
57.899493,885.29543,994.011218,19.152378,11.01887,994.011218,913.001146,1007.465693,20.303307,17.530585,817.043746,994.011218,23.566512,6.561865,12.597978,47.926328,19.725735,12.82777,839.514704,875.344166,22.661309,658.927364,17.135359,8.943382,8.385466,965.608012,149.113651,236.157769,18.961612,21.462529
35.253333,276.678941,273.39131,10.284196,5.68968,273.39131,432.902486,333.036295,8.75461,6.658881,309.071162,273.39131,11.640043,6.855263,6.741283,29.685281,9.107678,5.668033,403.830976,358.19299,9.971132,344.93295,7.666268,3.240493,3.35789,279.728373,45.063891,108.433548,6.303988,6.477365
55.548985,65.043106,110.982552,12.535789,16.205691,110.982552,124.786223,101.153978,9.492629,17.741539,136.202302,110.982552,15.91429,8.580126,16.91229,26.682586,9.493657,18.487155,104.552324,99.088527,11.096636,91.516846,18.904124,6.013763,14.964586,82.357999,33.365533,56.306654,10.270225,8.795573
43.975357,136.200761,139.311783,24.50143,6.891468,139.311783,233.873508,303.529269,5.156596,10.036278,126.337508,139.311783,8.689941,3.714269,8.203849,41.192774,23.087236,9.480089,182.931539,223.654512,19.857537,202.460613,12.01313,8.103341,4.406978,112.723062,64.918634,101.570079,7.163382,25.457306
46.055225,191.776008,186.48594,26.920531,26.582058,186.48594,465.847375,402.094981,15.100962,14.614759,282.28458,186.48594,17.147215,4.646035,22.913997,86.206469,23.452343,19.243414,578.410178,524.650286,19.582726,275.403102,18.210121,12.737085,19.898067,328.811659,94.950399,89.611917,10.819222,55.469268
26.310639,43.642727,43.406842,19.503334,4.514163,43.406842,54.424741,63.558878,4.921781,5.096082,19.354659,43.406842,4.735505,4.459841,4.100299,33.54813,29.68904,4.533342,46.899444,56.948732,16.734867,63.207253,4.791049,3.733883,3.7479,108.856898,41.423297,12.997871,4.158205,21.519943
81.447213,951.164875,737.47191,36.718586,41.272472,737.47191,882.906845,749.356449,51.097532,32.003729,666.351405,737.47191,23.963506,10.404591,23.935649,68.694551,52.620429,22.066514,1099.851933,871.242326,51.383751,749.80588,25.005436,22.037149,17.148173,770.228001,227.414564,645.310491,107.969228,52.190521
55.200935,304.164395,267.233426,42.295171,19.417539,267.233426,315.805142,271.271115,12.930494,22.731454,245.015926,267.233426,31.814554,14.659863,25.482835,64.210123,29.7301,18.613502,405.400716,347.782688,42.923042,304.841664,19.678542,17.592206,17.144414,220.418647,151.953268,153.594495,19.00993,41.702936
27.920924,67.183599,157.078912,7.324818,17.45684,157.078912,168.364166,104.044494,6.00314,14.023326,160.767031,157.078912,21.106975,4.970666,15.876686,28.707149,6.899007,17.232661,253.386962,155.790877,6.747098,111.098791,16.032926,14.98298,14.820605,63.329941,41.980341,75.672219,11.779669,8.714219
12.298953,56.429656,77.784042,9.022086,7.127237,77.784042,133.102077,64.017647,6.396893,6.893532,125.577366,77.784042,5.716998,5.040527,6.422286,13.879511,9.313746,6.892361,110.463322,102.535342,9.655584,89.088304,7.763771,5.35839,5.686705,52.937858,43.435098,24.933671,13.102649,7.713997
59.672283,81.902505,93.326587,16.056524,11.939269,93.326587,170.998011,128.451158,13.183608,12.071255,135.116158,93.326587,16.760701,5.075034,13.266933,37.239923,11.407228,13.25837,156.647492,130.651302,19.901237,136.099539,13.656316,12.498576,9.396637,104.722345,63.727411,32.117986,14.139652,20.569323
84.618241,851.106247,583.267558,82.64474,56.542595,583.267558,807.571192,579.859208,104.775865,19.728296,481.713786,583.267558,31.478883,20.286694,15.889666,224.924629,38.703663,41.843461,730.176995,695.736167,94.636618,688.265723,40.525376,19.181516,13.312405,727.833361,611.407226,483.175731,38.44841,100.416443
155.452899,245.005066,333.881068,106.832532,32.234537,333.881068,342.577507,358.408122,60.6281,15.676169,112.704774,333.881068,31.110141,45.224325,25.408919,132.737532,74.148985,27.747641,337.376892,386.289293,117.066636,424.52443,23.216125,20.2814,16.162113,200.0834,143.257938,175.933672,22.169079,116.863134
146.758982,1074.065585,949.14436,203.822756,33.094185,949.14436,1030.798951,766.042132,13.774443,17.823884,615.611852,949.14436,79.667476,17.958671,38.056707,225.80212,129.197394,30.303751,796.880817,980.311906,98.203137,922.44043,23.588696,14.706391,20.64259,493.445254,193.209432,551.609926,26.725785,101.510424
62.980122,438.347225,503.364032,85.059678,51.86818,503.364032,934.82301,449.626101,16.518519,21.964655,221.381986,503.364032,125.577108,14.499573,53.845252,117.456587,23.889305,41.651448,586.118243,891.872603,69.138375,407.189765,37.87117,18.888449,22.994153,440.895315,136.944152,183.372989,23.709073,90.954501
26.748303,78.239927,90.066197,7.715825,3.685336,90.066197,101.886395,87.719108,4.430472,4.529628,72.764033,90.066197,7.318228,4.566642,5.107772,17.237544,7.282826,4.949933,104.568004,111.708894,7.715755,113.140585,5.085921,3.201011,3.04466,84.194075,22.178702,21.838591,3.932992,9.141013
26.587086,142.095735,157.068449,29.060779,7.4823,157.068449,219.307345,190.189865,26.906401,7.567713,151.763391,157.068449,6.954015,3.281135,5.534311,47.015648,21.688528,7.41499,190.435705,224.860174,32.434717,199.585138,11.176657,4.191313,4.929823,151.225765,108.188477,44.903894,6.70516,33.13287
