LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
40.274013,29.419943,984.259182,13.949634,310.151873,336.262528,413.041611,357.00534,319.571609,13.748427,427.55688,252.03415,349.542839,71.311426,105.518063,39.570092,349.54288,349.716417,6396.469403,353.924354,32.723183,341.891735,349.542839,357.007352,10.529713,11.550781,36.512333,349.523139,348.110287,72.231844,353.694484,93.235561,16.851876,1515.84599,368.358552,357.00534,356.160689,356.160689
112.13952,66.266384,267.485958,18.254685,196.304021,454.662359,132.305779,550.938055,498.389459,21.154629,263.806949,283.864414,607.069073,179.088591,357.952556,110.439613,607.037921,597.771182,1121.377628,633.589536,61.471024,448.343484,607.069073,551.126532,22.216935,45.077345,110.331974,607.069073,449.220762,784.316181,559.875582,193.418756,32.181537,1638.265806,464.046318,550.938055,439.356957,439.356957
338.600587,177.622939,900.706435,12.108647,569.953004,636.582707,1154.611053,673.170055,651.282434,9.359869,1004.009465,475.530324,630.503187,258.617752,92.144961,148.5663,622.584094,620.650454,2047.476518,684.498124,191.282877,678.674346,630.503187,673.170055,13.446249,18.8014,270.236137,630.503187,663.389518,383.420396,682.843013,337.419356,20.794588,2920.352111,681.250942,673.170055,653.940549,653.940549
34.662053,33.704593,80.174874,10.197049,204.746843,287.163848,124.705477,302.391232,300.251245,13.426861,80.174874,192.458571,285.017154,53.257446,1272.518962,34.938704,285.801944,284.807914,6934.508877,284.033618,33.736169,218.459015,285.017154,302.306747,14.057507,8.577232,35.008491,285.017154,309.353994,42.645736,283.74244,85.163213,15.435607,1025.853718,253.134755,302.391232,298.1508,298.1508
22.903695,73.58166,625.563071,7.680073,67.923837,441.391826,206.123062,496.452406,465.817071,7.76226,625.542259,284.09454,477.329866,139.404375,168.904868,28.533502,477.329925,473.155327,13193.709243,513.810163,72.492084,452.509154,477.329866,496.452406,7.332199,40.335099,28.507223,477.329866,451.249472,132.898165,514.236513,150.652181,8.106682,1356.689165,457.522642,496.452406,467.568028,467.568028
51.987447,59.082385,271.935375,19.735505,443.658129,655.57335,762.468466,683.502745,846.762752,35.491935,271.935375,288.708102,823.1647,133.021112,204.230313,53.779045,822.178816,812.024253,582.20931,695.034652,57.971223,332.049551,823.1647,683.502745,13.624908,20.438184,53.028218,823.1647,387.254167,5159.859768,709.471008,149.840248,21.480256,1164.762969,1119.902468,683.502745,1245.138291,1245.138291
27.997296,7.969671,306.826457,11.966177,139.687842,448.158524,393.584271,505.432806,422.943275,10.970752,306.826457,240.561076,403.222039,61.936789,44.357056,33.13415,403.199231,400.447376,3199.340811,451.367679,7.954122,428.768583,403.222039,505.432806,12.81955,8.48924,33.900462,403.222039,428.762874,7.263076,427.289062,91.251671,16.341821,2632.95503,421.88976,505.432806,437.893809,437.893809
17.609581,14.825655,141.994973,4.69854,136.1728,307.848942,128.241486,337.563786,320.25995,6.996184,141.959677,184.616874,311.469536,61.183358,25.01561,18.596411,311.480868,311.395541,5092.708444,316.254872,14.966243,335.69641,311.469536,337.57275,7.302861,2.888387,19.915744,310.71807,323.795109,7.197107,318.030305,63.668588,9.172841,288.796086,321.58216,337.563786,332.328957,332.328957
11.973639,14.465096,240.714132,5.434045,130.850094,207.025158,238.080108,192.682685,188.576656,5.761662,241.158013,173.684121,216.639577,83.147474,160.308441,12.219149,215.383068,215.016969,470.42034,206.847318,14.188364,193.945654,216.639577,192.684898,8.005875,2.821642,13.170499,216.519507,200.516011,3901.830732,206.820124,114.313528,7.319423,180.8265,192.04171,192.682685,187.474113,187.474113
32.416944,33.86095,247.004358,25.908573,138.515969,270.020692,237.52988,262.142289,261.728548,32.750018,247.004358,177.339423,264.892036,113.732108,185.191637,37.123391,264.892036,263.074946,2114.699607,274.922238,40.634689,241.457001,264.892036,262.142289,23.726564,21.599416,38.613206,267.167542,243.989152,328.779918,273.757911,119.603245,35.379107,1761.008251,244.209334,262.142289,255.432249,255.432249
12.507406,6.552301,82.510887,5.606033,12.297653,94.50527,252.3166,97.12465,90.12032,7.784307,82.510887,58.128003,75.364249,6.248303,32.563273,12.611479,75.359079,74.494623,195.011451,86.630871,6.787677,98.729847,75.364249,97.12465,3.614194,4.232842,12.593527,75.364249,99.942727,18.39385,95.215719,19.513687,6.726482,985.683281,87.843176,97.12465,90.94856,90.94856
20.454854,13.585828,487.316706,10.344027,594.409239,950.46129,420.028292,924.61666,893.638848,7.537529,487.316706,385.601518,875.344166,229.44612,184.588539,30.807502,875.344166,873.301855,336.578171,983.162982,16.18867,864.161403,875.344166,924.61666,8.502935,3.863237,24.174963,875.344166,902.709393,40.064523,969.378434,149.525754,10.941802,507.956359,873.074263,924.61666,917.308613,917.308613
10.290569,8.011397,567.738066,3.479911,38.973728,384.688848,59.453153,433.965889,433.166145,2.979786,691.126364,284.021887,358.19299,15.676842,19.387158,8.599355,358.712308,358.543405,733.118401,413.413164,8.050127,429.225501,358.19299,433.965889,3.201095,2.870203,10.284889,358.100513,425.230712,673.776239,413.196926,150.070881,3.284105,1150.944936,423.138495,433.965889,428.624092,428.624092
12.533713,11.546749,205.370402,7.06232,60.646264,105.339142,65.636979,123.208933,125.992452,13.499073,202.695241,74.973118,99.088527,39.98136,25.770315,9.413823,99.088527,98.73089,3648.51482,98.792058,11.519537,104.796062,99.088527,123.208933,12.984768,6.393492,11.108234,99.088527,179.041367,36.783239,102.26011,51.178653,14.670476,386.575206,248.712825,123.208933,105.129719,105.129719
23.668939,24.158127,529.026978,4.23593,64.885269,238.864319,74.105407,234.430573,185.284281,8.13488,528.972797,149.933137,223.654512,57.335594,88.830533,23.913364,223.654512,222.169321,658.173738,264.431296,23.540532,172.779928,223.654512,234.693765,8.308811,3.583362,24.37799,223.671839,184.373841,42.537374,270.597618,79.805044,5.106074,221.470154,315.944964,234.430573,226.143457,226.143457
20.306943,33.184066,265.717932,10.978721,203.287971,427.694228,52.344911,458.656716,448.527627,9.813712,265.717932,233.365486,524.650286,134.499326,45.940401,32.578423,524.650286,413.597109,409.358882,497.699569,33.826451,326.951229,524.650286,458.656561,9.820606,5.110673,27.106116,522.185411,437.023921,35.961985,474.782425,147.600544,18.936289,1165.129993,386.596926,458.656716,424.523993,424.523993
17.870123,15.848695,431.785093,3.223426,16.540186,54.439014,426.431686,54.484486,35.811095,3.463825,431.363636,53.357266,56.948739,26.531436,121.630625,19.72111,56.948739,54.620892,3781.930285,60.424302,32.908077,154.933357,56.948739,54.484486,3.223994,4.637327,19.72111,56.945596,170.704219,54.233726,63.719838,40.754914,3.650409,4953.368726,42.014509,54.484486,48.197,48.197
61.571731,43.497279,1234.013285,21.488431,502.950082,897.231697,8840.016193,883.13037,863.601904,17.555207,1233.143474,438.132597,871.242326,518.408161,6507.248297,52.305529,847.399345,847.39693,39288.081654,872.620104,38.250887,555.674252,871.242326,882.429244,7.857886,16.784446,40.995538,879.882373,967.466922,15718.760803,843.293454,164.935374,15.01733,2953.449224,633.476479,882.429244,882.1235,882.1235
41.175573,16.518308,147.745526,11.585989,186.311056,326.183408,145.531504,312.350802,311.560474,12.74829,147.745526,277.964078,347.782688,75.638248,45.138643,45.302396,347.782688,331.529183,4880.899585,321.600015,28.419469,277.810717,347.782688,321.10652,10.750603,4.130419,42.494004,336.230931,347.700673,116.241103,326.303524,111.214304,16.468125,1907.208277,376.075691,312.350802,313.117524,313.117524
7.222424,30.361773,468.097214,10.873118,91.948012,164.948435,694.621716,169.47013,178.239052,11.398681,468.097626,113.468383,155.790877,18.147218,50.247724,8.664983,140.491775,136.652676,2059.254433,151.721021,7.922235,107.791371,155.790877,169.47013,10.737063,25.68075,7.398752,137.948785,205.555614,23.489128,145.200866,62.207953,15.806668,263.794509,162.937861,169.47013,175.094695,175.094695
8.370403,5.53144,704.432009,7.89212,66.151627,131.537528,1044.984162,131.29208,131.838891,5.132666,699.397288,72.589382,102.533846,50.473445,32.820576,8.987031,102.583647,101.738001,3872.714093,113.402636,5.595337,110.566471,102.533846,131.280082,4.615192,4.808452,9.006516,102.533846,113.8405,132012.198463,114.425728,51.192802,7.139913,2245.766833,104.495084,131.29208,131.452146,131.452146
15.625952,11.693158,114.160514,5.733302,86.741196,174.72765,276.877636,176.338028,174.340022,7.15331,113.91786,97.969442,130.654107,57.060709,71.495792,13.556314,129.491233,128.502274,95.51649,164.022628,11.68199,156.981237,130.651301,176.338174,5.325178,7.889852,16.185426,130.646329,157.390002,15.567218,172.205492,59.644325,10.311653,1086.583666,148.760849,176.338028,180.176802,180.176802
121.250398,48.393191,312.311609,17.934752,653.408704,780.535135,79.013577,793.100508,759.13789,10.706545,312.306366,471.18799,695.736167,635.072564,66.969449,180.576711,695.70056,681.479752,9398.589073,765.239638,48.476155,712.254168,695.736167,813.958391,9.888187,5.941422,82.740502,695.736167,707.273805,1890.806097,765.136162,174.482689,85.099831,720.781954,866.378551,793.100508,794.153989,794.153989
