SER_9_1,SER_6_3,F2,MEM2
14.625202,13.393413,10.014674,12.529108
31.247728,31.853987,26.335516,22.340291
13.60693,32.032483,10.297031,11.880721
14.720344,14.904205,6.902388,11.734974
9.936684,6.604377,5.677401,5.632005
18.715698,21.29703,9.752058,31.811098
11.945653,14.233856,11.216225,40.10611
10.140298,8.707729,4.211472,5.223137
6.59531,9.43849,5.769003,5.344944
29.453718,35.315311,31.461857,22.731466
7.873217,5.338834,2.805292,2.812212
9.5569,9.531333,10.047324,7.94324
4.671516,3.602317,3.242274,2.966579
14.05587,14.931104,7.15647,6.512681
6.616449,4.371268,4.362154,6.401864
16.455161,17.109891,6.985551,6.954625
3.726793,3.309824,3.443053,3.021894
16.054807,15.874624,24.137714,13.256164
18.163224,16.476527,6.941372,8.180169
15.323214,15.073334,4.373818,8.609025
5.442728,6.013524,5.889536,4.7568
9.421982,9.224209,6.055439,4.836306
13.794611,44.156601,9.241862,9.073834
16.45973,15.562466,6.296293,9.897886
23.039938,23.365706,7.920598,7.839175
20.168564,20.15576,6.036818,8.338793
3.96697,3.218971,3.116318,3.140707
5.333811,5.424527,2.597146,2.691493
16.54128,15.361796,7.887381,9.410376
11.981247,11.409995,7.301607,8.288188
14.375727,13.055839,5.293761,9.151159
117.527266,114.860211,11.451631,10.890513
8.577045,9.255334,4.021582,6.170335
26.661829,25.298153,58.450948,16.397178
8.412753,12.167249,5.827777,8.432184
8.680712,6.155015,3.836945,4.203208
18.842788,20.029514,4.396683,7.09323
10.963887,9.344852,8.19905,9.241572
15.763951,18.397566,10.821208,12.108745
11.614852,12.556685,8.691014,8.926781
14.265018,14.889363,7.486973,8.773906
6.232147,4.236658,3.316425,4.351846
161.44377,122.880431,71.028725,51.174077
2.197416,1.9443,1.926551,1.776995
30.816912,41.279271,26.728689,26.80058
21.078177,23.807131,5.692676,5.425457
20.10015,26.879621,10.465635,6.579425
94.212923,83.299185,144.294564,104.469406
13.00242,13.923904,16.337324,14.169717
6.927466,8.484471,39.551146,7.517959
20.707565,23.424247,18.727557,19.392281
12.788485,9.709141,8.209759,9.275174
117.767973,127.552831,132.104979,44.9607
105.753237,172.505822,31.867752,55.913335
74.118587,86.88005,18.431611,16.953423
142.51789,158.02943,144.000771,175.254665
21.307876,32.358968,36.605496,42.610228
55.454537,78.821091,8.008847,10.280744
202.370587,134.720825,37.303931,35.571255
37.586797,46.546055,12.060453,15.721565
50.196725,52.273741,167.792235,62.000765
11.719288,28.480122,8.288133,7.51693
69.286553,73.700303,20.511226,16.831944
100.577227,99.133135,24.078437,13.734362
