MEM2,MEM4,SAF,F2,LIN
12.529108,9.225272,9.225272,10.014674,10.315512
22.340291,19.351977,19.351977,26.335516,13.157695
11.880721,10.963182,10.963182,10.297031,15.734529
11.734974,6.583832,6.583832,6.902388,11.283714
5.632005,5.184471,5.184471,5.677401,5.533402
31.811098,23.662532,23.662532,9.752058,16.213017
40.10611,11.034497,11.034497,11.216225,10.066958
5.223137,4.690242,4.690242,4.211472,4.412471
5.344944,6.206308,6.206308,5.769003,6.57847
22.731466,24.347391,24.347391,31.461857,33.901825
2.812212,3.178366,3.178366,2.805292,2.976576
7.94324,8.874282,8.874282,10.047324,11.941565
2.966579,4.395198,4.395198,3.242274,4.077096
6.512681,6.446067,6.446067,7.15647,11.802721
6.401864,3.556048,3.556048,4.362154,7.269371
6.954625,4.827038,4.827038,6.985551,12.330922
3.021894,4.08877,4.08877,3.443053,3.508232
13.256164,10.067074,10.067074,24.137714,25.137162
8.180169,8.506292,8.506292,6.941372,16.013472
8.609025,5.455365,5.455365,4.373818,10.558399
4.7568,5.646126,5.646126,5.889536,5.729487
4.836306,4.160422,4.160422,6.055439,6.879326
9.073834,9.185467,9.185467,9.241862,128.602919
9.897886,37.538985,37.538985,6.296293,16.801016
7.839175,12.846676,12.846676,7.920598,8.324391
8.338793,10.421417,10.421417,6.036818,14.147482
3.140707,3.134774,3.134774,3.116318,3.481176
2.691493,2.571149,2.571149,2.597146,5.49867
9.410376,8.141958,8.141958,7.887381,10.891264
8.288188,8.091477,8.091477,7.301607,8.448247
9.151159,9.402305,9.402305,5.293761,7.942806
10.890513,15.169924,15.169924,11.451631,18.246571
6.170335,4.857291,4.857291,4.021582,5.732443
16.397178,22.170261,22.170261,58.450948,32.180816
8.432184,6.477307,6.477307,5.827777,7.951496
4.203208,3.423072,3.423072,3.836945,4.335303
7.09323,25.843966,25.843966,4.396683,14.384116
9.241572,10.520424,10.520424,8.19905,9.026517
12.108745,12.080957,12.080957,10.821208,14.339029
8.926781,9.718397,9.718397,8.691014,8.67294
8.773906,5.707345,5.707345,7.486973,17.470872
4.351846,4.387826,4.387826,3.316425,5.326727
51.174077,41.185172,41.185172,71.028725,43.250146
1.776995,2.213894,2.213894,1.926551,2.254115
26.80058,37.403142,37.403142,26.728689,36.700922
5.425457,4.229261,4.229261,5.692676,12.464364
6.579425,9.25151,9.25151,10.465635,13.947651
104.469406,182.310211,182.310211,144.294564,108.217822
14.169717,7.52946,7.52946,16.337324,9.518789
7.517959,79.544003,79.544003,39.551146,6.932593
19.392281,18.528289,18.528289,18.727557,30.73157
9.275174,17.046068,17.046068,8.209759,11.973834
44.9607,40.165989,40.165989,132.104979,65.320341
55.913335,40.63989,40.63989,31.867752,38.273294
16.953423,12.823276,12.823276,18.431611,38.02784
175.254665,91.159812,91.159812,144.000771,222.297343
42.610228,69.538629,69.538629,36.605496,49.716548
10.280744,6.3996,6.3996,8.008847,21.333945
35.571255,36.637874,36.637874,37.303931,447.389572
15.721565,36.233828,36.233828,12.060453,16.360237
62.000765,173.467927,173.467927,167.792235,59.718319
7.51693,10.33883,10.33883,8.288133,15.33845
16.831944,48.664148,48.664148,20.511226,596.548207
13.734362,6.991617,6.991617,24.078437,25.751707
