MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
16.357913,12.529108,11.836019,9.225272,9.225272,10.014674,262.228685
53.318784,22.340291,17.210083,19.351977,19.351977,26.335516,433.922758
57.528332,11.880721,11.989153,10.963182,10.963182,10.297031,552.824251
27.756111,11.734974,13.002088,6.583832,6.583832,6.902388,209.692599
55.34765,5.632005,5.390993,5.184471,5.184471,5.677401,337.436145
150.667872,31.811098,24.066005,23.662532,23.662532,9.752058,475.795093
57.872037,40.10611,32.601671,11.034497,11.034497,11.216225,361.503392
8.135977,5.223137,5.611306,4.690242,4.690242,4.211472,165.587703
8.764206,5.344944,5.85628,6.206308,6.206308,5.769003,159.609523
33.416132,22.731466,24.150232,24.347391,24.347391,31.461857,193.597951
2.428349,2.812212,2.678145,3.178366,3.178366,2.805292,60.925361
20.431424,7.94324,12.415754,8.874282,8.874282,10.047324,772.362405
5.653732,2.966579,4.369633,4.395198,4.395198,3.242274,273.099203
7.432091,6.512681,12.317187,6.446067,6.446067,7.15647,96.863896
4.89992,6.401864,24.442039,3.556048,3.556048,4.362154,144.047107
13.297182,6.954625,8.406836,4.827038,4.827038,6.985551,216.69077
5.457182,3.021894,3.084647,4.08877,4.08877,3.443053,43.644041
104.515299,13.256164,13.956718,10.067074,10.067074,24.137714,814.79413
19.193971,8.180169,8.592657,8.506292,8.506292,6.941372,275.484231
11.391114,8.609025,6.64101,5.455365,5.455365,4.373818,106.248173
6.929209,4.7568,4.866238,5.646126,5.646126,5.889536,77.984503
7.825091,4.836306,4.630775,4.160422,4.160422,6.055439,99.508343
105.265623,9.073834,8.383224,9.185467,9.185467,9.241862,607.379366
64.589607,9.897886,14.050965,37.538985,37.538985,6.296293,316.806956
59.802343,7.839175,7.329309,12.846676,12.846676,7.920598,871.535169
23.240797,8.338793,9.878905,10.421417,10.421417,6.036818,820.482548
5.113327,3.140707,3.574134,3.134774,3.134774,3.116318,90.452454
6.751848,2.691493,2.969033,2.571149,2.571149,2.597146,156.938693
23.256021,9.410376,10.792279,8.141958,8.141958,7.887381,291.09111
31.779733,8.288188,6.962317,8.091477,8.091477,7.301607,329.806376
8.996038,9.151159,7.116574,9.402305,9.402305,5.293761,345.131881
36.234528,10.890513,10.42876,15.169924,15.169924,11.451631,580.636096
114.298367,6.170335,6.404923,4.857291,4.857291,4.021582,619.90322
116.330574,16.397178,24.901728,22.170261,22.170261,58.450948,1004.80809
15.994354,8.432184,6.908557,6.477307,6.477307,5.827777,214.680986
13.005221,4.203208,5.52252,3.423072,3.423072,3.836945,222.650084
28.202437,7.09323,7.722709,25.843966,25.843966,4.396683,771.332648
18.595798,9.241572,8.351874,10.520424,10.520424,8.19905,210.797412
28.251318,12.108745,13.695293,12.080957,12.080957,10.821208,546.771293
71.388065,8.926781,7.694274,9.718397,9.718397,8.691014,1455.13146
15.490269,8.773906,7.205598,5.707345,5.707345,7.486973,1051.102387
12.308267,4.351846,2.323276,4.387826,4.387826,3.316425,247.405451
64.708506,51.174077,55.673037,41.185172,41.185172,71.028725,1473.55961
15.804509,1.776995,1.75236,2.213894,2.213894,1.926551,76.414151
251.173572,26.80058,34.943961,37.403142,37.403142,26.728689,1765.820175
42.049329,5.425457,5.965118,4.229261,4.229261,5.692676,378.930211
80.635719,6.579425,57.331035,9.25151,9.25151,10.465635,1173.636099
102.775131,104.469406,93.753234,182.310211,182.310211,144.294564,612.952411
11.528656,14.169717,17.371747,7.52946,7.52946,16.337324,201.037017
65.381107,7.517959,7.607807,79.544003,79.544003,39.551146,209.267967
135.341852,19.392281,19.811723,18.528289,18.528289,18.727557,254.906971
11.565885,9.275174,12.396152,17.046068,17.046068,8.209759,572.635625
240.939943,44.9607,41.416183,40.165989,40.165989,132.104979,728.047267
240.58581,55.913335,51.299618,40.63989,40.63989,31.867752,1262.609126
336.481795,16.953423,21.777628,12.823276,12.823276,18.431611,1347.420353
1288.50571,175.254665,81.481101,91.159812,91.159812,144.000771,1971.354955
25.885018,42.610228,40.730642,69.538629,69.538629,36.605496,472.033429
39.585113,10.280744,8.093111,6.3996,6.3996,8.008847,338.253094
924.498551,35.571255,22.628619,36.637874,36.637874,37.303931,4333.423887
71.861775,15.721565,15.539481,36.233828,36.233828,12.060453,594.996863
511.509202,62.000765,64.030499,173.467927,173.467927,167.792235,2029.643622
32.10644,7.51693,16.44596,10.33883,10.33883,8.288133,1846.65775
147.496789,16.831944,18.161304,48.664148,48.664148,20.511226,1676.550709
325.273868,13.734362,13.510426,6.991617,6.991617,24.078437,2507.379773
