LIN,S3_V2_D1,S3_V10_D4,S4_V7_D1,S4_V9_D2,S4_V9_D4,SAF,F2
10.315512,13.775382,13.994194,13.509338,79.837538,15.643329,9.225272,10.014674
13.157695,24.260045,21.963091,26.817451,30.515377,30.777909,19.351977,26.335516
15.734529,10.005476,9.719489,21.747035,147.018202,11.369278,10.963182,10.297031
11.283714,15.145577,13.936884,16.99972,14.065686,28.454654,6.583832,6.902388
5.533402,7.55208,8.39337,7.106023,48.139011,9.175018,5.184471,5.677401
16.213017,82.38858,19.243501,22.307661,60.224516,20.961266,23.662532,9.752058
10.066958,10.420232,10.871754,15.838195,59.031309,13.960653,11.034497,11.216225
4.412471,6.959762,6.549086,8.633259,61.243595,9.384892,4.690242,4.211472
6.57847,5.784169,6.273367,7.144682,106.346462,6.885326,6.206308,5.769003
33.901825,32.549977,32.735119,25.930246,102.9085,35.430101,24.347391,31.461857
2.976576,5.132078,6.132717,8.736032,6.234395,6.504446,3.178366,2.805292
11.941565,9.315794,8.579533,9.84058,45.435789,10.491149,8.874282,10.047324
4.077096,3.158276,2.931515,4.40583,20.116482,3.257702,4.395198,3.242274
11.802721,11.687372,12.275741,13.241527,23.867696,16.393925,6.446067,7.15647
7.269371,7.688925,4.159857,4.836887,34.869196,7.493418,3.556048,4.362154
12.330922,11.826024,17.171093,16.124352,30.531486,11.74333,4.827038,6.985551
3.508232,3.803601,3.788821,3.701354,5.585272,3.579101,4.08877,3.443053
25.137162,28.479439,16.350173,13.506536,41.723378,30.188823,10.067074,24.137714
16.013472,16.888887,17.569326,21.051431,62.39336,17.035013,8.506292,6.941372
10.558399,16.18444,14.778045,16.971243,22.508749,55.388854,5.455365,4.373818
5.729487,7.793201,5.886331,5.872648,31.636539,9.136968,5.646126,5.889536
6.879326,7.419555,7.609468,8.730239,23.777631,9.215896,4.160422,6.055439
128.602919,110.277578,201.965938,14.778753,156.31168,81.244514,9.185467,9.241862
16.801016,17.158564,12.344408,21.014161,16.054231,20.210884,37.538985,6.296293
8.324391,14.752112,11.767753,35.880566,106.51629,22.690239,12.846676,7.920598
14.147482,10.807769,11.366861,24.247676,27.550191,19.522304,10.421417,6.036818
3.481176,3.068737,3.081093,3.680592,11.766581,3.177831,3.134774,3.116318
5.49867,3.657794,4.310057,5.80988,18.814766,4.778579,2.571149,2.597146
10.891264,10.479812,13.075897,29.737178,37.638223,13.640132,8.141958,7.887381
8.448247,9.520406,56.224732,14.410773,99.759858,10.957687,8.091477,7.301607
7.942806,9.312378,63.501334,12.197947,73.070668,13.99957,9.402305,5.293761
18.246571,41.391012,65.478382,120.824931,140.214162,75.34924,15.169924,11.451631
5.732443,7.339317,7.586672,11.486162,73.264055,19.642893,4.857291,4.021582
32.180816,23.83626,22.339187,32.751738,91.797096,85.822613,22.170261,58.450948
7.951496,7.934367,8.039386,9.063087,140.16757,8.245064,6.477307,5.827777
4.335303,4.161445,4.689892,10.951175,39.866114,7.414401,3.423072,3.836945
14.384116,22.303951,21.086696,18.223096,32.229116,30.877136,25.843966,4.396683
9.026517,9.974172,8.747912,11.375355,8.912256,13.275286,10.520424,8.19905
14.339029,15.161511,16.455081,17.776353,216.286419,21.823236,12.080957,10.821208
8.67294,8.024097,12.492288,14.05141,418.08441,11.051646,9.718397,8.691014
17.470872,11.555757,14.854382,44.24489,164.173771,51.884823,5.707345,7.486973
5.326727,6.952743,5.415869,6.101121,114.438499,5.378848,4.387826,3.316425
43.250146,86.059721,96.52869,187.595129,493.576399,123.779268,41.185172,71.028725
2.254115,2.107354,2.063255,2.289756,13.861697,2.063255,2.213894,1.926551
36.700922,31.03701,31.669461,37.73582,644.938472,222.328047,37.403142,26.728689
12.464364,11.955667,14.202092,21.723045,147.825941,23.94259,4.229261,5.692676
13.947651,16.155873,21.733155,14.657521,283.539414,165.311418,9.25151,10.465635
108.217822,56.886578,86.555727,151.72644,215.576383,88.063456,182.310211,144.294564
9.518789,9.527512,9.628154,20.069672,30.798088,20.273622,7.52946,16.337324
6.932593,7.5099,5.832945,6.23036,17.668621,6.544249,79.544003,39.551146
30.73157,18.734785,18.541196,22.289333,29.356736,21.610318,18.528289,18.727557
11.973834,6.573746,6.485677,14.162432,290.012104,7.813782,17.046068,8.209759
65.320341,109.490031,118.560079,122.604926,131.051576,110.285167,40.165989,132.104979
38.273294,72.941677,58.350197,103.513684,402.40555,107.100407,40.63989,31.867752
38.02784,38.093555,64.592302,88.529452,392.524962,57.606992,12.823276,18.431611
222.297343,50.067396,114.679366,156.550345,328.673001,93.137723,91.159812,144.000771
49.716548,403.225583,29.134021,21.599418,56.363159,236.955493,69.538629,36.605496
21.333945,35.220675,32.485424,35.513203,34.575775,75.28828,6.3996,8.008847
447.389572,379.609643,175.445319,103.376011,1974.655293,695.56761,36.637874,37.303931
16.360237,36.56825,35.266498,40.127515,103.774112,50.416692,36.233828,12.060453
59.718319,175.919902,80.537861,40.201476,412.972547,402.581734,173.467927,167.792235
15.33845,19.034988,13.365784,11.426407,128.736337,90.314988,10.33883,8.288133
596.548207,45.5674,42.456148,97.312013,115.238353,106.642274,48.664148,20.511226
25.751707,94.259153,59.113176,53.897934,343.626464,268.066209,6.991617,24.078437
