LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
99.594698,106.758322,112.918041,65.642614,142.827896,76.63198,85.971002,63.745746,68.640075,95.038221,82.679574,82.023876,68.410487,76.773042,49.78068,46.384527,63.15517,57.246386,79.116604,84.24128,71.727369,92.65763,49.798252,74.807059,56.150863,67.768316,69.984842,72.976999,57.999282,78.567837,113.038989,82.388108,120.544132,90.657286,70.120445,81.932343,54.307132,64.437838
324.369281,178.687973,169.023301,357.299503,203.994965,265.852892,260.857641,180.218304,302.11977,193.469051,231.45112,126.566713,239.01342,94.287786,64.8136,175.313209,204.506619,89.536662,99.292971,216.370673,126.517178,291.385303,74.305246,205.466307,109.943084,257.572744,274.910255,73.907758,78.198502,286.425095,207.359987,190.118416,209.478038,208.395608,231.519863,215.715869,191.742094,137.41795
798.055354,997.339185,753.342229,851.961879,558.733199,773.222032,575.834049,775.845476,670.449548,749.308475,576.108592,674.68546,566.293598,638.977094,635.206798,594.95565,725.771476,781.508846,568.960611,925.488923,393.875755,803.74603,668.50766,469.369342,550.016602,814.433488,840.145884,740.175212,750.834888,695.839462,730.336003,401.79975,753.42681,659.685182,438.175806,579.952652,809.055808,1114.492531
410.963383,234.210363,221.054185,602.371899,128.459909,451.958203,471.379426,297.101907,335.093503,361.458792,284.228356,248.485537,296.853657,526.973081,588.946557,362.071065,389.955873,481.13601,492.496693,428.035793,457.732298,513.903693,240.698394,353.038438,177.826728,373.340008,591.545397,320.698032,418.040013,279.425656,626.480205,449.194527,454.267464,572.048147,318.865575,366.07364,316.759775,453.911861
245.054528,222.995691,258.3331,285.592098,227.487099,270.827889,268.596808,236.255102,192.951968,243.046453,132.825481,132.055156,192.758434,214.440472,236.831218,165.658409,193.693124,283.447205,240.164784,218.708091,261.311169,247.053797,152.616505,190.310805,245.163493,230.211475,239.253104,146.264386,120.766158,136.899628,236.904084,215.182874,230.796981,218.005292,272.778056,228.362659,248.304397,255.389274
496.468664,315.337266,354.073042,377.362225,231.325079,408.935496,394.310948,290.77667,353.306706,397.941255,416.507741,411.279196,465.062449,502.11488,506.148699,364.795702,555.777928,299.614803,490.023999,371.208503,226.462955,438.152873,397.126731,438.10755,403.470762,477.687778,517.391197,361.349336,392.849895,477.783963,331.948598,357.753934,392.099347,472.92085,282.430691,394.807173,352.576918,356.442558
172.2324,73.532016,108.85562,129.099807,124.248177,122.331619,149.831236,104.24619,153.178308,80.465459,133.971597,125.970019,117.582868,169.098887,146.92242,135.11822,86.301428,131.59101,152.424227,105.705683,106.794016,105.530812,73.77746,123.622159,80.046734,154.022413,174.512018,92.121261,109.552949,125.688129,76.601634,142.781697,139.021265,103.551102,142.698491,121.209655,134.373063,118.821207
240.476606,155.950584,149.563413,177.444546,182.7584,203.711081,162.676763,205.552226,223.023161,164.690353,214.797252,204.10361,70.039455,343.219288,241.030861,245.573872,241.910727,314.025257,259.676948,191.005977,177.170582,287.976024,185.293248,239.86751,170.295971,229.210033,341.452546,216.946337,149.441837,124.159103,188.905175,206.443094,187.507332,218.034348,144.279628,169.731143,159.141458,312.746425
131.922214,88.935953,89.575274,56.437875,33.953451,48.994021,123.631971,82.600372,83.648168,57.020399,110.738065,89.114845,72.800391,126.276605,89.314523,126.302154,57.648875,99.980424,131.399574,37.34602,55.997668,62.639002,84.526824,86.635531,45.052187,96.712386,132.25974,84.079826,89.630363,44.835075,101.308291,77.591421,64.741987,70.116294,72.763949,73.740587,42.757205,83.422067
741.782316,583.398816,630.652246,662.127286,536.147164,738.424446,697.417448,537.256616,463.280651,390.97939,681.806769,606.98067,424.457575,711.20247,521.692844,771.919662,515.605938,475.03438,830.018257,456.790637,629.513884,423.911028,504.827859,725.984987,195.572619,808.310003,593.674949,492.115606,317.281673,424.449974,607.812627,345.256908,484.154344,503.28067,471.253788,602.023491,403.382795,328.831973
